condition,food,warning,explanation
carcinogenic,ginger root,safe,"Zingerone, a major component found in ginger root, has been known as anti-mutagenic and anti-carcinogenic activities that are often associated with its anti-oxidative and anti-inflammatory activities."
nephrolithiasis,high carbohydrate diets,dangerous,"Based on these observations, some investigators believe that long term intake of high carbohydrate diets may increase the risk of nephrolithiasis and possibly osteoporosis."
Prediabetes,Biscuits,safe,Biscuits may support balanced diet for prediabetes.
cancers,allium,safe,Many epidemiological studies support the protective role of garlic and related allium foods against the development of certain human cancers.
cognitive decline,fruit,safe,"Finally, the limited epidemiological evidence available on fruit and vegetable consumption and cognition generally supported a protective role of these macronutrients against cognitive decline, dementia, and AD."
occupational respiratory allergies,wheat flour,dangerous,Exposure to wheat flour and guar gum is a well-known cause of occupational respiratory allergies among workers in the food processing industry.
cognitive impairment,soybean curd,dangerous,"Paradoxically, the Honolulu Asia Aging Study reported an increased risk for cognitive impairment and other dementia markers with high tofu (soybean curd) intake."
stroke,mediterranean diet,safe,The Mediterranean diet (MD) has been shown to lower stroke risk.
neurodegenerative diseases,various foods,safe,"Many reports have indicated that luteolin, a flavone found in various foods, has preventive and therapeutic value for neurodegenerative diseases including AD."
Hypertension,potato,safe,potato may support balanced diet for hypertension.
Prediabetes,Biscuits,safe,Biscuits may support balanced diet for prediabetes.
type 2 diabetes,cocoa consumption,safe,"Regular cocoa consumption has been shown to improve blood pressure (BP), insulin sensitivity, and lipid levels in patients with type 2 diabetes (T2D), using up to 100 g of chocolate or 54 g of cocoa."
cardiovascular disease,olive oil),safe,Epidemiological studies suggest that a Mediterranean diet (which is rich in virgin olive oil) decreases the risk of cardiovascular disease.
diabetic,beans,safe,"Common beans have been associated with anti-diabetic effects, due to its high content of bioactive compounds."
migraine attacks,cabbage,dangerous,"Migraine attacks have been produced most frequently by cow milk (in 10 out of 17 patients), cabbage, flour and eggs in 5 patients, preservatives, cottage and Swiss cheese, porcine meat in 4 patients, colorants and chocolate in 3 patients, beef, strawberries, lemons and butter in 2 patients."
hypertension,coffee,safe,"Respondents with overweight (AOR 1.44, 95%CI: 1.02-2.02), khat chewing (AOR3.31, 95%CI: 1.94-5.64), low fruit and/or vegetable consumption (AOR 1.27, 95%CI: 1.05-1.53) and those who do not use coffee and tea (AOR 1.52, 95%CI: 1.03-2.24) had significantly higher likelihood of hypertension."
cancer,garlic intake,safe,Numerous animal and in vitro studies provided evidence for a relation between garlic intake and cancer risk reduction.
allergy,cow's milk protein,dangerous,"Cow's milk protein allergy, which occurs in approximately 5-10% of the population of infants and children, has become an important public food safety problem."
bone loss,regular-fish oil,safe,"The preventive effect of high-dose (9%) regular-fish oil (FO) against bone loss during aging has been demonstrated, but the effects of a low-dose (1%-4%) of a highly purified concentrated FO (CFO) has not been elucidated."
Hypertension,egg omelet,safe,egg omelet may support balanced diet for hypertension.
ad,anti-inflammatory drugs,safe,"Thus, anti-inflammatory drugs in this asymptomatic initial phase could slow down AD progression, provided they enter the brain."
osteoporosis,milk consumption,safe,Milk consumption is an accepted strategy in building peak bone mass and therefore may reduce the risk of osteoporosis.
insulin resistance,cocoa plant,safe,"Flavanoids in the cocoa plant may ameliorate insulin resistance by improving endothelial function, altering glucose metabolism, and reducing oxidative stress."
heinz body hemolytic anemia,garlic,dangerous,", including garlic (A. sativum) and onions (A. cepa), are known to be oxidatively toxic to canine erythrocytes resulting in Heinz body hemolytic anemia in dogs."
diabetes,flour,dangerous,"Alloxan (ALX), a food-additive, intaken daily through flour causes diabetes and genotoxicity by inducing chromosomal-aberration and DNA-damage."
ad,coffee beans,safe,"In addition, eicosanoyl-5-hydroxytryptamide (EHT), a naturally occurring component from coffee beans that modulates PP2A methylation, was shown to confer therapeutic benefits in rodent models of AD and Parkinson's disease."
Prediabetes,Sussages,safe,Sussages may support balanced diet for prediabetes.
arterial hypertension,ultra-processed products ( up ),dangerous,"The consumption of ultra-processed products (UP) is associated with many diseases in the adult, such as arterial hypertension, diabetes, or asthma."
wound,curcuma longa,safe,"Curcumin is a naturally occurring polyphenol found in Curcuma longa with multiple therapeutic properties, such as anti-inflammatory, wound healing and anti-cancer effects."
hypertension,apium graveolens,safe,"Apium graveolens L. is a traditional Chinese medicine prescribed as a treatment for hypertension, gout, and diabetes."
osteoporosis,tea,safe,"Tea drinking has positive effects on bone health and may prevent and treat osteoporosis, especially in older and postmenopausal women."
Prediabetes,Macaroni/Noodle/pasta/rice,can worsen,Macaroni/Noodle/pasta/rice with serving size 176.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
cvd,fruits,safe,"CVD can be prevented by some simple and cost-effective steps such as smoking cessation, normalizing body weight, regular physical activity, and dietary changes, including decreasing saturated fats, increasing the intake of vegetables and fruits, and reducing sugar intake."
Hypertension,Crackers,can worsen,Crackers with serving size 30.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
coronary heart disease,fruit,safe,Fruit and vegetable (FV) intake is recommended for the prevention of coronary heart disease (CHD).
blood stasis,red yeast rice,safe,Red yeast rice is a food fermentation product widely used to promote blood circulation and remove blood stasis.
food allergy,wheat,dangerous,"Food allergy is a common disease caused by the intake of allergen-containing foods, such as milk, eggs, peanuts, and wheat."
diabetic,sage,safe,Salvia officinalis L. (sage) is a medicinal plant used as an ingredient in foods and beverages and displays a wide range of biological and pharmacological activities including anti-diabetic effects.
stroke,morus alba,safe,Mulberry (Morus alba L.) leaves are widely used as herbal tea to prevent heat stroke.
hypertension,processed foods,dangerous,Increased consumption of processed foods in the modern world has contributed to a high salt intake and thus increased the prevalence of hypertension among Malaysian populations.
Hypertension,carrots/pumpkin/squash/sweet potato/,dangerous,carrots/pumpkin/squash/sweet potato/ is high in fat/sugar and may worsen hypertension.
cognitive decline,fruit,safe,"Finally, the limited epidemiological evidence available on fruit and vegetable consumption and cognition generally supported a protective role of these macronutrients against cognitive decline, dementia, and AD."
allergies,fruits,dangerous,"Recently, the prevalence of food allergies during childhood is increasing, with fruits being common allergens."
Prediabetes,Pancakes/waffles,can worsen,Pancakes/waffles with serving size 140.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
gout,cherries,safe,"Cherries, which are rich in anti-inflammatory and antioxidative bioactive compounds, are proposed to be efficacious in preventing and treating gout, but recommendations to patients are conflicting."
anaemia,micronutrient powders,safe,"Home fortification with micronutrient powders (MNP) has been shown to reduce anaemia, with high overall acceptability and adherence, but there is limited evidence from West Africa."
ad,nutrition,safe,"Accumulating evidence suggests that nutrition (e.g., via fruit, vegetables, fish) is important for optimizing cognition and reducing risk of AD."
neurodegenerative diseases,fruits,safe,"Epidemiological studies have shown that consumption of diets rich in antioxidant and anti-inflammatory agents, such as those found in fruits and vegetables, may lower the risk of developing age-related neurodegenerative diseases such as Parkinson's disease and Alzheimer's disease."
urolithiasis,fruit,safe,"Regarding food, intake of fruit correlated negatively with the incidence of urolithiasis (r = -0.721, p = 0.008), while intake of eggs (r = 0.537, p = 0.072) and sugar (r = 0.475, p = 0.119) tended to positively correlate with incidence."
gut dysbiosis,fermented foods,safe,"Regular consumption of fermented foods (e.g., kimchi, kefir, etc.) may represent a potential avenue to counter the proinflammatory effects of gut dysbiosis."
ad,coffee beans,safe,"In addition, eicosanoyl-5-hydroxytryptamide (EHT), a naturally occurring component from coffee beans that modulates PP2A methylation, was shown to confer therapeutic benefits in rodent models of AD and Parkinson's disease."
allergic reaction,wheat,dangerous,"Wheat is a food allergen that occasionally causes a systemic allergic reaction; however, little is known about the quantities of wheat allergen required to evoke allergic symptoms."
allergy,wheat flour,dangerous,Occupational allergy to components of wheat flour is the main cause of rhinitis and asthma of workers in bakeries and similar activities.
neurodegenerative disease,green tea,safe,"Natural antioxidants from food sources and natural products such as resveratrol, curcumin, green tea polyphenols, and vitamin E are promising therapeutic agents in oxidative stress-mediated neurodegenerative disease as they have fewer adverse effects, more tolerable, cheaper, and sustainable for long term consumption."
dental caries,dietary sugar,dangerous,"Dietary sugar, especially in liquid form, increases risk of dental caries, adiposity, and type 2 diabetes."
allergy,cow's milk protein,dangerous,"Cow's milk protein allergy, which occurs in approximately 5-10% of the population of infants and children, has become an important public food safety problem."
allergy,milk,dangerous,"Although soy is considered a major food allergen (along with milk, egg, peanut, fish, and wheat), the prevalence of soy allergy in the pediatric population is not well defined."
Prediabetes,Macaroni/Noodle/pasta/rice,safe,Macaroni/Noodle/pasta/rice may support balanced diet for prediabetes.
liver cirrhosis,milk thistle extracts,safe,"Milk thistle extracts have been used as medicinal herbs in the treatment of liver cirrhosis, chronic hepatitis (liver inflammation), and gallbladder disorders."
cardiometabolic diseases,dairy products,dangerous,Dairy products contain both beneficial and harmful nutrients in relation to cardiometabolic diseases.
cardiovascular diseases,black mulberry fruits,safe,Black mulberry fruits are traditionally used in Uyghur folk medicine for the prevention and treatment of cardiovascular diseases in southern Xinjiang region of China.
obesity-linked metabolic diseases,blueberries,safe,"Blueberry consumption can prevent obesity-linked metabolic diseases, and it has been proposed that the polyphenol content of blueberries may contribute to these effects."
diabetic,beans,safe,"Common beans have been associated with anti-diabetic effects, due to its high content of bioactive compounds."
diabetic,cocoa,safe,Epidemiological and animal studies suggest that cocoa might reduce the risk of diabetic complications.
Hypertension,Bread,can worsen,Bread with serving size 25.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
alzheimer's disease,ginger,safe,Ginger has been reportedly used for the management or treatment of Alzheimer's disease in folklore medicine.
cvds,blueberry,safe,"Moreover, substantial experimental studies have supported the protective role of fruits against CVDs, and several fruits (grape, blueberry, pomegranate, apple, hawthorn, and avocado) have been widely studied and have shown potent cardiovascular protective action."
murine collagen-induced arthritis,olive oil,safe,"Hydroxytyrosol acetate (HT-AC), a polyphenolic compound in olive oil, exerts an anti-inflammatory effect on murine collagen-induced arthritis."
Prediabetes,raw apple/apricot/avocado/banana/cantaloupe/cherries/fig/grapes/mango/pear/pineapple/,can worsen,raw apple/apricot/avocado/banana/cantaloupe/cherries/fig/grapes/mango/pear/pineapple/ with serving size 182.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
obesity,dairy products,safe,"Efficiency of milk and dairy products in treatment of obesity, sclerosis and hypertension has been proved by DASH diet."
allergies,mustard,dangerous,"Peanuts and nuts cause a great part of allergies in the United States; in Spain and Portugal are commonly due to fish, milk; in Italy seafood and mustard in France."
hyperglycaemia,maslinic acid,safe,"Bredemolic acid (BA), an isomer of maslinic acid, has been reported to ameliorate the intermediate hyperglycaemia found in prediabetes; however, the effects of this triterpene on cardiovascular function have not yet been determined."
cancer,sword bean,safe,"Sword bean has been known as a traditional medicinal plant to treat cancer, sinus infection, and suppurative disease."
Prediabetes,oil,can worsen,oil with serving size 14.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
Prediabetes,Beans,can worsen,Beans with serving size 28.4g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
Hypertension,Beans,can worsen,Beans with serving size 28.4g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
inflammatory diseases,taraxacum officinale,safe,"Taraxacum officinale (L.), commonly called dandelion has been used for centuries as a natural medicine to treat inflammatory diseases including some metabolic alterations associated with obesity."
osteoporosis,well-balanced diet,safe,"Health claims describe the relation between a food substance and the risk of disease, e.g., ""Adequate calcium and vitamin D throughout life, as part of a well-balanced diet, may reduce the risk of osteoporosis."
Prediabetes,butter,dangerous,butter is high in fat/sugar and may worsen prediabetes.
bronchiolitis obliterans,butter flavoring vapors,dangerous,"In 2000, inhalation of butter flavoring vapors was first associated with clinical bronchiolitis obliterans among workers in microwave popcorn production."
neurodegenerative diseases,fruits,safe,"Epidemiological studies have shown that consumption of diets rich in antioxidant and anti-inflammatory agents, such as those found in fruits and vegetables, may lower the risk of developing age-related neurodegenerative diseases such as Parkinson's disease and Alzheimer's disease."
arterial hypertension,ultra-processed products ( up ),dangerous,"The consumption of ultra-processed products (UP) is associated with many diseases in the adult, such as arterial hypertension, diabetes, or asthma."
senile dementia of alzheimer 's type,food additives,dangerous,"Aluminum is a constituent of antacids, deodorants, kitchenware and food additives which allows easy access into the body posing risk to development of senile dementia of Alzheimer's type."
allergic reactions,flour,dangerous,Allergic reactions to wheat may be caused by ingestion of wheat containing foods or inhalation of flour (Bakers asthma).
Hypertension,egg omelet substitute,can worsen,egg omelet substitute with serving size 61.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
allergies,mustard,dangerous,"Peanuts and nuts cause a great part of allergies in the United States; in Spain and Portugal are commonly due to fish, milk; in Italy seafood and mustard in France."
cancer,sword bean,safe,"Sword bean has been known as a traditional medicinal plant to treat cancer, sinus infection, and suppurative disease."
Hypertension,Beef,dangerous,Beef is high in fat/sugar and may worsen hypertension.
ailments,punica granatum,safe,Over one thousand cultivars of Punica granatum (Punicaceae) are known and some are traditionally used to treat various ailments.
osteoporotic fractures,virgin olive oil,safe,"Virgin olive oil, a key component of the Mediterranean Diet (MDiet), with recognised beneficial effects on metabolism and cardiovascular health, may decrease the risk of osteoporotic fractures."
neurodegenerative diseases,various foods,safe,"Many reports have indicated that luteolin, a flavone found in various foods, has preventive and therapeutic value for neurodegenerative diseases including AD."
diabetes,beans,safe,Vegetables and beans are nutrient-dense foods with innate potential to mediate diabetes in a variety of cultures.
obesity,fat and high-calorie foods,dangerous,"Also, excessive intake of fat and high-calorie foods is also related to the development of obesity, which contributes to the development of CVD."
Hypertension,coffee/soda drink/iced tea,can worsen,coffee/soda drink/iced tea with serving size 240.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
Hypertension,raw apple/apricot/avocado/banana/cantaloupe/cherries/fig/grapes/mango/pear/pineapple/,can worsen,raw apple/apricot/avocado/banana/cantaloupe/cherries/fig/grapes/mango/pear/pineapple/ with serving size 182.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
diet- associated health diseases,salt,dangerous,"In terms of nutrition, a diet high in fat (particularly saturated fat), salt and sugars have shown to be associated with innumerable incidence of diet- associated health diseases."
cardiovascular diseases,mediterranean diet,safe,The Mediterranean diet has been associated with lower mortality and lower risk of cardiovascular diseases and cancer.
Prediabetes,grapefruit/lemon/orange,can worsen,grapefruit/lemon/orange with serving size 236.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
Hypertension,Cereal,safe,Cereal may support balanced diet for hypertension.
neural tube defects,maize,safe,Wheat and maize (corn) flour are staple crops consumed widely throughout the world and have been fortified with folic acid in over 80 countries to prevent neural tube defects.
diabetes,sfp,safe,"In short, this study demonstrated that SFP could be developed as functional foods or pharmaceutical supplements for the prevention or mitigation of diabetes and its complications."
diabetic,guava tea,safe,"Polyphenols from coffee, guava tea, whortleberry, olive oil, propolis, chocolate, red wine, grape seed, and cocoa have been reported to show anti-diabetic effects in T2D patients through increasing glucose metabolism, improving vascular function as well as reducing insulin resistance and HbA1c level."
ad,anti-inflammatory drugs,safe,"Thus, anti-inflammatory drugs in this asymptomatic initial phase could slow down AD progression, provided they enter the brain."
Prediabetes,egg,can worsen,egg with serving size 50.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
Prediabetes,butter,dangerous,butter is high in fat/sugar and may worsen prediabetes.
Hypertension,dried fruit,can worsen,dried fruit with serving size 28.4g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
Hypertension,frozen meal (containing meat and vegetables),can worsen,frozen meal (containing meat and vegetables) with serving size 312.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
atherosclerosis,red meat,dangerous,"Recent evidence has also suggested carnitine from red meat, as a precursor for trimethylamine-N-oxide, which has been shown to cause atherosclerosis, may increase the risk of suffering CVD in experimental animals."
Hypertension,milk,safe,milk is nutritious and may help manage hypertension.
blood stasis,red yeast rice,safe,Red yeast rice is a food fermentation product widely used to promote blood circulation and remove blood stasis.
metabolic disturbances,cocoa polyphenols,safe,Cocoa polyphenols exhibit high antioxidant activity and have been proposed as a potential adjuvant for the treatment of metabolic disturbances.
"cardiovascular, neurodegenerative",docosahexaenoic acid,safe,"Omega-3 fatty acids (ÃÂÃÂÃÂÃÂ-3FAs) such as Docosahexaenoic acid (DHA) and Eicosapentanoic acid (EPA), are active ingredient of fish oil, which have larger health benefits against various diseases including cardiovascular, neurodegenerative, cancers and bone diseases."
allergy,rice,dangerous,"In rice allergy, proteins with molecular masses of 14-16, 26, 33, and 56 kDa have been demonstrated to be potentially allergenic."
Hypertension,Sussages,can worsen,Sussages with serving size 100.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
flagellate dermatitis,shiitake mushrooms,dangerous,Flagellate dermatitis caused by the intake of shiitake mushrooms is characterized by linear erythematous lesions that are intensely pruritic.
hypoxia,dietary virgin olive oil,safe,Recent studies suggest that dietary virgin olive oil reduces hypoxia-reoxygenation injury in rat brain.
moisture loss,"salt (sodium chloride, nacl)",dangerous,"Salt (sodium chloride, NaCl) is commonly used in ready-to-eat (RTE) meat products such as biltong, a South African style dried beef product for flavor, enhanced moisture loss, and reduction of microbial growth."
neural tube birth defect,folic acid,safe,Periconceptional intake of folic acid is known to reduce a woman's risk of having an infant affected by a neural tube birth defect (NTD).
Hypertension,Ice Cream,dangerous,Ice Cream is high in fat/sugar and may worsen hypertension.
Hypertension,Sussages,safe,Sussages may support balanced diet for hypertension.
alzheimer's disease,coffee,safe,Several epidemiological and preclinical studies supported the protective effect of coffee on Alzheimer's disease (AD).
Prediabetes,egg omelet substitute,safe,egg omelet substitute may support balanced diet for prediabetes.
chronic disease,sodium consumption,dangerous,"However, population-level strategies to reduce sodium consumption, such as food product reformulation, modifying food procurement processes, and federal healthy eating policies, are important public health initiatives that can produce meaningful reductions in sodium consumption and help to prevent chronic disease in adulthood."
noncommunicable diseases,trans-fatty acids,dangerous,"Pakistan is among the nations with a high intake of trans-fatty acids (TFAs), a major dietary risk factor of noncommunicable diseases (NCDs)."
cardiovascular and cerebrovascular diseases,fruit,safe,Fruit and vegetable consumption was considered a protective effect against cardiovascular and cerebrovascular diseases (CVDs).
cardiovascular disease,fruit consumption,safe,"In Western populations, a higher level of fruit consumption has been associated with a lower risk of cardiovascular disease, but little is known about such associations in China, where the consumption level is low and rates of stroke are high."
Hypertension,carrots/pumpkin/squash/sweet potato/,can worsen,carrots/pumpkin/squash/sweet potato/ with serving size 72.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
bronchiolitis obliterans,butter flavoring vapors,dangerous,"In 2000, inhalation of butter flavoring vapors was first associated with clinical bronchiolitis obliterans among workers in microwave popcorn production."
Hypertension,potato,safe,potato may support balanced diet for hypertension.
nutritional reformulation,salt,dangerous,"Among nutritional reformulation strategies, reductions in caloric density, salt, added sugar, saturated and trans-fats are important in order to reduce the associated risk of developing chronic diseases, including cardiovascular diseases, diabetes and cancer."
chronic kidney disease,sodium,dangerous,"Current dietary guidelines recommend that patients with chronic kidney disease (CKD) restrict individual nutrients, such as sodium, potassium, phosphorus, and protein."
allergy,milk,dangerous,"Although soy is considered a major food allergen (along with milk, egg, peanut, fish, and wheat), the prevalence of soy allergy in the pediatric population is not well defined."
alzheimer's disease,fish oil,safe,Long-term fish oil (FO) supplementation is able to improve Alzheimer's disease (AD) pathology.
cardiovascular and neurodegenerative diseases,extra-virgin olive oil,safe,"The phenolic compounds of extra-virgin olive oil can act at various levels to protect individuals against cardiovascular and neurodegenerative diseases, cancer, and osteoporosis, among others."
Hypertension,oil,safe,oil may support balanced diet for hypertension.
glycemia,extra virgin olive oil,safe,"Oleuropein, a component of extra virgin olive oil (EVOO), reduces post-prandial glycemia with a mechanism counteracting oxidative stress-mediated incretin down-regulation."
glycemic,bread,dangerous,"Bread is a staple food for majority of the people worldwide, but it has a high glycemic effect."
cognitive impairment,milk,safe,Milk and other dairy products may contribute to the prevention of physical and cognitive impairment.
Hypertension,carrots/pumpkin/squash/sweet potato/,dangerous,carrots/pumpkin/squash/sweet potato/ is high in fat/sugar and may worsen hypertension.
ad,salt,dangerous,"Diets characterized by high intakes of refined sugars, salt, animal-derived proteins and fats and by low intakes of fruit and vegetables are associated with a higher risk of AD and can perturb the circadian modulation of cortisol secretion, which is associated with poor sleep quality."
alzheimer disease,ginger,safe,"Components of ginger (Zingiber officinale) extracts have been described as potential new drug candidates against Alzheimer disease (AD), able to interact with several molecular targets related to the AD treatment."
chronic diseases,sugar,dangerous,"Epidemiological studies have shown that higher sugar-sweetened beverage consumption is associated with increased risk of developing chronic diseases, including cardiovascular disease, type 2 diabetes mellitus, obesity, non-alcoholic fatty liver disease, gout, and rheumatoid arthritis and to worse symptoms in some patients with rheumatoid arthritis."
kidney stones,vegetables,safe,"Available scientific evidence agrees on the harmful effects of high meat/animal protein intake and low calcium diets, whereas high content of fruits and vegetables associated with a balanced intake of low-fat dairy products carries the lowest risk for incident kidney stones."
diabetes,breadfruit,safe,Breadfruit is a traditional staple crop from Pacific islands with the potential to improve worldwide food security and mitigate diabetes.
Prediabetes,Macaroni/Noodle/pasta/rice,safe,Macaroni/Noodle/pasta/rice may support balanced diet for prediabetes.
stone recurrence in hypercalciuric renal stone formers,salt,safe,A diet based on a adequate intake of calcium (1000-1200 mg per day) and containment of animal protein and salt can decrease significantly urinary supersaturation for calcium oxalate and reduce the relative risk of stone recurrence in hypercalciuric renal stone formers.
Prediabetes,sugar/desserts,dangerous,sugar/desserts is high in fat/sugar and may worsen prediabetes.
allergy,hydrolyzed wheat products,dangerous,There are several reports describing allergy to hydrolyzed wheat products.
Hypertension,Cream,can worsen,Cream with serving size 32.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
neurological diseases,cigarette smoke,dangerous,"Exposure to cigarette smoke (CS) is associated with an increased risk of several neurological diseases such as stroke, Alzheimer's disease, and dementia."
cardiovascular disease,fruit consumption,safe,"In Western populations, a higher level of fruit consumption has been associated with a lower risk of cardiovascular disease, but little is known about such associations in China, where the consumption level is low and rates of stroke are high."
cancer,garlic intake,safe,Numerous animal and in vitro studies provided evidence for a relation between garlic intake and cancer risk reduction.
Hypertension,Cream,dangerous,Cream is high in fat/sugar and may worsen hypertension.
carcinogenic,olive oil,safe,"The beneficial effects of olive oil phenols attributed to a variety of biological activities including free radical scavenging/antioxidant actions, anti-inflammatory effects, anti-carcinogenic properties, and anti-microbial activities."
hypertension,processed meats,dangerous,"However, liquid UPF and processed meats were associated with increased rate of hypertension (IRR: 1.32; 95%CI:1.10,1.65; IRR: 1.17; 95%CI:1.01,1.36; respectively)."
Prediabetes,Pork,dangerous,Pork is high in fat/sugar and may worsen prediabetes.
hyperuricaemia,sucrose,dangerous,"In addition to sucrose and high fructose corn syrup, fresh fruits also contain fructose, suggesting that patients with hyperuricaemia or gout might also avoid fresh fruit."
Prediabetes,Beans,safe,Beans is nutritious and may help manage prediabetes.
micronutrient deficiencies,rice fortification,safe,Rice fortification with vitamins and minerals has the potential to increase the nutrition in rice-consuming countries where micronutrient deficiencies exist.
allergy,shrimp,dangerous,"In 2.8% of the control group, the ISAC-test failed to detect an allergy sensitization caused by dust mite, shrimp, Anisakis, or seed storage proteins."
hypertension,coffee,safe,"Respondents with overweight (AOR 1.44, 95%CI: 1.02-2.02), khat chewing (AOR3.31, 95%CI: 1.94-5.64), low fruit and/or vegetable consumption (AOR 1.27, 95%CI: 1.05-1.53) and those who do not use coffee and tea (AOR 1.52, 95%CI: 1.03-2.24) had significantly higher likelihood of hypertension."
Prediabetes,Burrito/Taco/Enchilada/Pizza/lasanga,can worsen,Burrito/Taco/Enchilada/Pizza/lasanga with serving size 198.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
neurodegenerative disease,green tea,safe,"Natural antioxidants from food sources and natural products such as resveratrol, curcumin, green tea polyphenols, and vitamin E are promising therapeutic agents in oxidative stress-mediated neurodegenerative disease as they have fewer adverse effects, more tolerable, cheaper, and sustainable for long term consumption."
ckd,olive oil,safe,"Plant nutrients and plant-based diets could have beneficial effects in patients with CKD: increased fibre intake shifts the gut microbiota towards reduced production of uraemic toxins; plant fats, particularly olive oil, have anti-atherogenic effects; plant anions might mitigate metabolic acidosis and slow CKD progression; and as plant phosphorus has a lower bioavailability than animal phosphorus, plant-based diets might enable better control of hyperphosphataemia."
inflammatory diseases,taraxacum officinale,safe,"Taraxacum officinale (L.), commonly called dandelion has been used for centuries as a natural medicine to treat inflammatory diseases including some metabolic alterations associated with obesity."
Hypertension,Biscuits,safe,Biscuits may support balanced diet for hypertension.
type 2 diabetes,cocoa consumption,safe,"Regular cocoa consumption has been shown to improve blood pressure (BP), insulin sensitivity, and lipid levels in patients with type 2 diabetes (T2D), using up to 100 g of chocolate or 54 g of cocoa."
Hypertension,oil,safe,oil may support balanced diet for hypertension.
asthma,fruit drinks,dangerous,", HFCS-sweetened soda, fruit drinks and apple juice - a high-fructose 100 % juice - are associated with asthma, possibly because of the high fructose:glucose ratios and underlying fructose malabsorption, which may contribute to enteral formation of pro-inflammatory advanced glycation end products, which bind receptors that are mediators of asthma."
toxicity,ascorbic acids,dangerous,"Antioxidants such as phlorotannins, ascorbic acids, tocopherols, carotenoids from red algae showed toxicity on some cancer cells without side effects."
Prediabetes,Crackers,safe,Crackers may support balanced diet for prediabetes.
Prediabetes,frozen meal (containing meat and vegetables),can worsen,frozen meal (containing meat and vegetables) with serving size 312.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
Hypertension,Stew (meat/rice/vegetable),can worsen,Stew (meat/rice/vegetable) with serving size 140.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
colon carcinogenesis,garlic,safe,"Diallyl disulfide (DADS), a sulfur compound derived from garlic, has been shown to have protective effects against colon carcinogenesis in several studies performed in rodent models."
cvds,fruits,safe,Accumulating epidemiological studies have indicated that consuming fruits was inversely related to the risk of CVDs.
cancer,additives to food and water,safe,"Environmental pollutants, such as pesticides, herbicides, additives to food and water, and electromagnetic fields threaten public health by promotion of cancer, heart disease and chronic diseases of aging."
allergies,peanut,dangerous,The characteristics of tree nuts (TNs) and peanut (PN) allergies vary in different regions of the world.
Hypertension,sugar/desserts,can worsen,sugar/desserts with serving size 200.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
respiratory symptoms,flour,dangerous,Flour mill workers are at high risk of developing respiratory symptoms due to exposure to flour dust in their working environment.
bladder cancer,tobacco,dangerous,Tobacco smoking and occupational exposure to aromatic amines are the two major established environmental risk factors for bladder cancer.
allergy,cicer arietinum,dangerous,Chickpea (Cicer arietinum) allergy has frequently been reported particularly in Spain and India.
nephrolithiasis,fruits,safe,"Dietary Approaches to Stop Hypertension (DASH), a low-sodium and fruits/vegetables-rich diet, has been associated with a lower risk of nephrolithiasis, due to altered urinary biochemistry."
dementia,fruit,safe,"Having at least three servings of vegetables and two servings of fruit a day could help prevent dementia in older adults, new research suggests."
coronary disease,tea,safe,"Flavonoid antioxidants with 2- or 3-phenylchroman structures such as quercetin, kaempferol, myricetin, apigenin, and luteolin, constituents of fruits, vegetables, tea, and wine, which may reduce coronary disease and cancer, are described."
anaemia,wheat flour,safe,Fortification of wheat flour is deemed a useful strategy to reduce anaemia in populations.
coronary disease,tea,safe,"Flavonoid antioxidants with 2- or 3-phenylchroman structures such as quercetin, kaempferol, myricetin, apigenin, and luteolin, constituents of fruits, vegetables, tea, and wine, which may reduce coronary disease and cancer, are described."
chills,capsinoids from nonpungent chili pepper,safe,"Capsinoids from nonpungent chili pepper cultivar have been reported to reduce body fat mass, promote metabolism, and improve unidentified complaints of chills."
noncommunicable chronic diseases,ultra-processed foods,dangerous,Processed and ultra-processed foods (UPF) consumption has been associated with development of noncommunicable chronic diseases (NCD).
epilepsy,antiepileptic drugs,dangerous,Adults aged 50 years and older with epilepsy face an increased risk of fracture associated both with age and with the use of antiepileptic drugs.
metabolic syndrome,citrus fruits,safe,Citrus fruits are known for their beneficial health effects associated with the prevention of metabolic syndrome/type 2 diabetes that is mainly attributed to flavonoids.
