food,safe_alternative,reason
family pack double cheese pizza,grilled low-fat yogurt,Grilled low-fat yogurt is reduced oil and lighter on the stomach compared to family pack double cheese pizza.
kathi roll,steamed idli,Steamed idli is contains more protein to keep you full compared to kathi roll.
large cake,baked moong chilla,Baked moong chilla is whole grains provide sustained energy compared to large cake.
loaded vada pav,grilled whole wheat roti,Grilled whole wheat roti is higher in fiber which improves satiety compared to loaded vada pav.
extra cheese black forest cake,no butter lemon water,No butter lemon water is reduced oil and lighter on the stomach compared to extra cheese black forest cake.
samosa,roasted veggies,Roasted veggies is baked or steamed instead of deep-fried compared to samosa.
double doughnut,dark chocolate (small piece),Dark chocolate (small piece) is reduced oil and lighter on the stomach compared to double doughnut.
extra cheese falooda,coconut water,Coconut water is less sugar and better for blood glucose control compared to extra cheese falooda.
cheeseburger,homestyle nuts mix (unsalted),Homestyle nuts mix (unsalted) is reduced oil and lighter on the stomach compared to cheeseburger.
butter white bread,grilled fish,Grilled fish is reduced oil and lighter on the stomach compared to butter white bread.
butter fried rice,grilled whole wheat roti,Grilled whole wheat roti is less sugar and better for blood glucose control compared to butter fried rice.
extra cheese cheese dosa,baked baked sweet potato,Baked baked sweet potato is reduced oil and lighter on the stomach compared to extra cheese cheese dosa.
large manchurian,air-popped popcorn,Air-popped popcorn is higher in fiber which improves satiety compared to large manchurian.
momos fried,grilled hand-pounded rice,Grilled hand-pounded rice is includes more vegetables and micronutrients compared to momos fried.
brownie sundae,homestyle quinoa,Homestyle quinoa is lower sodium content supports heart health compared to brownie sundae.
family pack fish and chips,steamed vegetable khichdi,Steamed vegetable khichdi is contains more protein to keep you full compared to family pack fish and chips.
maggi noodles,light paneer tikka,Light paneer tikka is higher in fiber which improves satiety compared to maggi noodles.
loaded barfi,paneer tikka,Paneer tikka is includes more vegetables and micronutrients compared to loaded barfi.
tortilla chips,coconut water,Coconut water is reduced oil and lighter on the stomach compared to tortilla chips.
veg biryani,millet roti,Millet roti is higher in fiber which improves satiety compared to veg biryani.
butter kheer,steamed plain khichdi,Steamed plain khichdi is includes more vegetables and micronutrients compared to butter kheer.
sugarcane juice,steamed fruit salad,Steamed fruit salad is whole grains provide sustained energy compared to sugarcane juice.
large instant noodles,moong chilla,Moong chilla is lower in saturated fat and calories compared to large instant noodles.
garlic aloo paratha,homestyle greek yogurt,Homestyle greek yogurt is reduced oil and lighter on the stomach compared to garlic aloo paratha.
double veg biryani,low-oil buttermilk,Low-oil buttermilk is fermented or dairy option aids digestion compared to double veg biryani.
doughnut,nuts mix (unsalted),Nuts mix (unsalted) is whole grains provide sustained energy compared to doughnut.
masala misal pav,steamed cucumber salad,Steamed cucumber salad is includes more vegetables and micronutrients compared to masala misal pav.
maggi noodles,low-oil vegetable upma,Low-oil vegetable upma is baked or steamed instead of deep-fried compared to maggi noodles.
family pack barfi,green tea,Green tea is less sugar and better for blood glucose control compared to family pack barfi.
doughnut,baked coconut water,Baked coconut water is lower in saturated fat and calories compared to doughnut.
rasgulla,dal fry (less oil),Dal fry (less oil) is lower in saturated fat and calories compared to rasgulla.
large gulab jamun,no butter baked fish,No butter baked fish is less sugar and better for blood glucose control compared to large gulab jamun.
paneer butter masala,unsweetened sprouts salad,Unsweetened sprouts salad is includes more vegetables and micronutrients compared to paneer butter masala.
falooda,homestyle dal tadka,Homestyle dal tadka is whole grains provide sustained energy compared to falooda.
cake,baked fish,Baked fish is lower sodium content supports heart health compared to cake.
manchurian,grilled hand-pounded rice,Grilled hand-pounded rice is less sugar and better for blood glucose control compared to manchurian.
nachos,greek yogurt,Greek yogurt is lower sodium content supports heart health compared to nachos.
masala veg biryani,baked sweet potato,Baked sweet potato is baked or steamed instead of deep-fried compared to masala veg biryani.
kachori,low-oil plain khichdi,Low-oil plain khichdi is fermented or dairy option aids digestion compared to kachori.
small butter dosa,plain multigrain roti,Plain multigrain roti is contains more protein to keep you full compared to small butter dosa.
popcorn butter,roasted chana,Roasted chana is lower in saturated fat and calories compared to popcorn butter.
double butter dosa,multigrain roti,Multigrain roti is fermented or dairy option aids digestion compared to double butter dosa.
cheese paratha,grilled fish,Grilled fish is lower in saturated fat and calories compared to cheese paratha.
rasmalai,low-oil paneer tikka,Low-oil paneer tikka is reduced oil and lighter on the stomach compared to rasmalai.
chocolate ice cream,buttermilk,Buttermilk is whole grains provide sustained energy compared to chocolate ice cream.
extra cheese kheer,low-oil plain khichdi,Low-oil plain khichdi is lower in saturated fat and calories compared to extra cheese kheer.
barfi,grilled plain khichdi,Grilled plain khichdi is baked or steamed instead of deep-fried compared to barfi.
white bread,tofu tikka,Tofu tikka is baked or steamed instead of deep-fried compared to white bread.
extra cheese aloo paratha,hand-pounded rice,Hand-pounded rice is whole grains provide sustained energy compared to extra cheese aloo paratha.
cheeseburger,green tea,Green tea is contains more protein to keep you full compared to cheeseburger.
extra cheese butter naan,light quinoa,Light quinoa is includes more vegetables and micronutrients compared to extra cheese butter naan.
mutton biryani,light sattu drink (unsweetened),Light sattu drink (unsweetened) is higher in fiber which improves satiety compared to mutton biryani.
loaded jalebi,nuts mix (unsalted),Nuts mix (unsalted) is whole grains provide sustained energy compared to loaded jalebi.
spicy momos fried,baked plain dosa,Baked plain dosa is less sugar and better for blood glucose control compared to spicy momos fried.
instant noodles,dal fry (less oil),Dal fry (less oil) is includes more vegetables and micronutrients compared to instant noodles.
packaged juice,plain phulka (no oil),Plain phulka (no oil) is whole grains provide sustained energy compared to packaged juice.
cheese paratha,air-popped popcorn,Air-popped popcorn is baked or steamed instead of deep-fried compared to cheese paratha.
aloo paratha,multigrain roti,Multigrain roti is lower sodium content supports heart health compared to aloo paratha.
halwa,baked fish,Baked fish is higher in fiber which improves satiety compared to halwa.
family pack double cheese pizza,lemon water,Lemon water is whole grains provide sustained energy compared to family pack double cheese pizza.
spicy brownie,steamed idli,Steamed idli is fermented or dairy option aids digestion compared to spicy brownie.
small fish and chips,plain herbal tea,Plain herbal tea is whole grains provide sustained energy compared to small fish and chips.
pakora,vegetable upma,Vegetable upma is less sugar and better for blood glucose control compared to pakora.
cheese fries,steamed sprouts salad,Steamed sprouts salad is includes more vegetables and micronutrients compared to cheese fries.
bhujia,no sugar oats upma,No sugar oats upma is contains more protein to keep you full compared to bhujia.
masala kachori,millet roti,Millet roti is includes more vegetables and micronutrients compared to masala kachori.
double samosa,fruit salad,Fruit salad is baked or steamed instead of deep-fried compared to double samosa.
garlic bhujia,baked fish,Baked fish is whole grains provide sustained energy compared to garlic bhujia.
fish and chips,plain sauteed greens,Plain sauteed greens is contains more protein to keep you full compared to fish and chips.
large cheese dosa,plain cucumber salad,Plain cucumber salad is lower sodium content supports heart health compared to large cheese dosa.
spicy manchurian,no sugar sweet potato chaat,No sugar sweet potato chaat is fermented or dairy option aids digestion compared to spicy manchurian.
dal makhani,tandoori chicken,Tandoori chicken is lower sodium content supports heart health compared to dal makhani.
lachha paratha,no sugar whole wheat roti,No sugar whole wheat roti is reduced oil and lighter on the stomach compared to lachha paratha.
french fries,plain dosa,Plain dosa is fermented or dairy option aids digestion compared to french fries.
falooda,baked samosa,Baked samosa is reduced oil and lighter on the stomach compared to falooda.
manchurian,sweet potato chaat,Sweet potato chaat is less sugar and better for blood glucose control compared to manchurian.
extra cheese burger,air-popped popcorn,Air-popped popcorn is higher in fiber which improves satiety compared to extra cheese burger.
sev puri,dark chocolate (small piece),Dark chocolate (small piece) is reduced oil and lighter on the stomach compared to sev puri.
brownie sundae,brown rice,Brown rice is contains more protein to keep you full compared to brownie sundae.
pakora,no sugar black coffee (no sugar),No sugar black coffee (no sugar) is reduced oil and lighter on the stomach compared to pakora.
spicy pakora,ragi dosa,Ragi dosa is lower in saturated fat and calories compared to spicy pakora.
family pack tortilla chips,grilled chicken,Grilled chicken is includes more vegetables and micronutrients compared to family pack tortilla chips.
regular pepperoni pizza,unsweetened steamed idli,Unsweetened steamed idli is lower in saturated fat and calories compared to regular pepperoni pizza.
garlic fish and chips,light dark chocolate (small piece),Light dark chocolate (small piece) is lower sodium content supports heart health compared to garlic fish and chips.
family pack hakka noodles,low-oil nuts mix (unsalted),Low-oil nuts mix (unsalted) is reduced oil and lighter on the stomach compared to family pack hakka noodles.
butter dosa,low-oil baked fish,Low-oil baked fish is less sugar and better for blood glucose control compared to butter dosa.
rasgulla,grilled tandoori chicken,Grilled tandoori chicken is lower sodium content supports heart health compared to rasgulla.
masala jalebi,whole wheat roti,Whole wheat roti is less sugar and better for blood glucose control compared to masala jalebi.
cake,unsweetened nuts mix (unsalted),Unsweetened nuts mix (unsalted) is reduced oil and lighter on the stomach compared to cake.
loaded fries,low-oil steamed idli,Low-oil steamed idli is lower sodium content supports heart health compared to loaded fries.
jalebi,chaas,Chaas is lower in saturated fat and calories compared to jalebi.
maggi noodles,nuts mix (unsalted),Nuts mix (unsalted) is fermented or dairy option aids digestion compared to maggi noodles.
orange soda,green tea,Green tea is lower in saturated fat and calories compared to orange soda.
cold coffee,sweet potato chaat,Sweet potato chaat is lower sodium content supports heart health compared to cold coffee.
garlic pani puri,dal tadka,Dal tadka is lower in saturated fat and calories compared to garlic pani puri.
doughnut,plain tandoori chicken,Plain tandoori chicken is includes more vegetables and micronutrients compared to doughnut.
samosa,plain oats upma,Plain oats upma is contains more protein to keep you full compared to samosa.
small lachha paratha,grilled vegetable soup,Grilled vegetable soup is lower in saturated fat and calories compared to small lachha paratha.
kathi roll,baked fruit salad,Baked fruit salad is includes more vegetables and micronutrients compared to kathi roll.
family pack brownie sundae,light tofu stir-fry,Light tofu stir-fry is lower in saturated fat and calories compared to family pack brownie sundae.
orange soda,sprouts salad,Sprouts salad is contains more protein to keep you full compared to orange soda.
double kheer,stir-fried veggies,Stir-fried veggies is higher in fiber which improves satiety compared to double kheer.
hakka noodles,stir-fried veggies,Stir-fried veggies is contains more protein to keep you full compared to hakka noodles.
shawarma,dal tadka,Dal tadka is lower in saturated fat and calories compared to shawarma.
pepperoni pizza,plain air-popped popcorn,Plain air-popped popcorn is reduced oil and lighter on the stomach compared to pepperoni pizza.
instant noodles,light baked samosa,Light baked samosa is lower sodium content supports heart health compared to instant noodles.
laddu,baked baked samosa,Baked baked samosa is lower in saturated fat and calories compared to laddu.
double chips,grilled fish,Grilled fish is baked or steamed instead of deep-fried compared to double chips.
spicy kathi roll,light grilled chicken,Light grilled chicken is baked or steamed instead of deep-fried compared to spicy kathi roll.
instant noodles,nuts mix (unsalted),Nuts mix (unsalted) is higher in fiber which improves satiety compared to instant noodles.
orange soda,light sattu drink (unsweetened),Light sattu drink (unsweetened) is fermented or dairy option aids digestion compared to orange soda.
popcorn butter,homestyle vegetable soup,Homestyle vegetable soup is reduced oil and lighter on the stomach compared to popcorn butter.
pakora,greek yogurt,Greek yogurt is higher in fiber which improves satiety compared to pakora.
kachori,whole wheat roti,Whole wheat roti is includes more vegetables and micronutrients compared to kachori.
garlic sweetened yogurt,no sugar dark chocolate (small piece),No sugar dark chocolate (small piece) is fermented or dairy option aids digestion compared to garlic sweetened yogurt.
spring rolls,sauteed greens,Sauteed greens is less sugar and better for blood glucose control compared to spring rolls.
mutton biryani,plain dosa,Plain dosa is reduced oil and lighter on the stomach compared to mutton biryani.
sweetened yogurt,unsweetened moong chilla,Unsweetened moong chilla is whole grains provide sustained energy compared to sweetened yogurt.
loaded fries,quinoa,Quinoa is lower in saturated fat and calories compared to loaded fries.
small fried chicken,dark chocolate (small piece),Dark chocolate (small piece) is baked or steamed instead of deep-fried compared to small fried chicken.
laddu,homestyle moong chilla,Homestyle moong chilla is less sugar and better for blood glucose control compared to laddu.
brownie,sauteed greens,Sauteed greens is whole grains provide sustained energy compared to brownie.
sweet lassi,grilled sauteed greens,Grilled sauteed greens is higher in fiber which improves satiety compared to sweet lassi.
bhujia,paneer tikka,Paneer tikka is higher in fiber which improves satiety compared to bhujia.
spicy fried rice,paneer tikka,Paneer tikka is fermented or dairy option aids digestion compared to spicy fried rice.
regular tortilla chips,baked fish,Baked fish is reduced oil and lighter on the stomach compared to regular tortilla chips.
chips,plain khichdi,Plain khichdi is reduced oil and lighter on the stomach compared to chips.
small pakora,brown rice,Brown rice is includes more vegetables and micronutrients compared to small pakora.
chips,steamed grilled chicken,Steamed grilled chicken is whole grains provide sustained energy compared to chips.
bhujia,buttermilk,Buttermilk is fermented or dairy option aids digestion compared to bhujia.
hakka noodles,steamed steamed idli,Steamed steamed idli is fermented or dairy option aids digestion compared to hakka noodles.
extra cheese maggi noodles,roasted veggies,Roasted veggies is higher in fiber which improves satiety compared to extra cheese maggi noodles.
small cola,steamed sattu drink (unsweetened),Steamed sattu drink (unsweetened) is reduced oil and lighter on the stomach compared to small cola.
black forest cake,steamed baked sweet potato,Steamed baked sweet potato is less sugar and better for blood glucose control compared to black forest cake.
french fries,brown rice,Brown rice is lower sodium content supports heart health compared to french fries.
cheese fries,coconut water,Coconut water is lower in saturated fat and calories compared to cheese fries.
cheese fries,low-oil baked fish,Low-oil baked fish is lower sodium content supports heart health compared to cheese fries.
peda,unsweetened tofu stir-fry,Unsweetened tofu stir-fry is contains more protein to keep you full compared to peda.
extra cheese black forest cake,roasted veggies,Roasted veggies is fermented or dairy option aids digestion compared to extra cheese black forest cake.
cheeseburger,dal fry (less oil),Dal fry (less oil) is contains more protein to keep you full compared to cheeseburger.
bhel puri,no butter cucumber salad,No butter cucumber salad is contains more protein to keep you full compared to bhel puri.
double veg biryani,steamed poha (less oil),Steamed poha (less oil) is includes more vegetables and micronutrients compared to double veg biryani.
pepperoni pizza,coconut water,Coconut water is whole grains provide sustained energy compared to pepperoni pizza.
kathi roll,greek yogurt,Greek yogurt is fermented or dairy option aids digestion compared to kathi roll.
bhel puri,baked fish,Baked fish is higher in fiber which improves satiety compared to bhel puri.
masala shawarma,greek yogurt,Greek yogurt is includes more vegetables and micronutrients compared to masala shawarma.
burger,no butter millet roti,No butter millet roti is lower sodium content supports heart health compared to burger.
chicken biryani,tandoori chicken,Tandoori chicken is contains more protein to keep you full compared to chicken biryani.
butter kathi roll,homestyle dal fry (less oil),Homestyle dal fry (less oil) is lower in saturated fat and calories compared to butter kathi roll.
aloo paratha,baked fruit salad,Baked fruit salad is lower sodium content supports heart health compared to aloo paratha.
small brownie,sauteed greens,Sauteed greens is includes more vegetables and micronutrients compared to small brownie.
butter cheese paratha,steamed roasted chana,Steamed roasted chana is whole grains provide sustained energy compared to butter cheese paratha.
masala flavored yogurt,roasted veggies,Roasted veggies is contains more protein to keep you full compared to masala flavored yogurt.
double pepperoni pizza,sweet potato chaat,Sweet potato chaat is reduced oil and lighter on the stomach compared to double pepperoni pizza.
sev,quinoa,Quinoa is contains more protein to keep you full compared to sev.
family pack cake,baked fish,Baked fish is higher in fiber which improves satiety compared to family pack cake.
masala falooda,grilled chicken,Grilled chicken is contains more protein to keep you full compared to masala falooda.
masala noodles,dark chocolate (small piece),Dark chocolate (small piece) is higher in fiber which improves satiety compared to masala noodles.
large chocolate ice cream,vegetable soup,Vegetable soup is lower in saturated fat and calories compared to large chocolate ice cream.
bhatura,sattu drink (unsweetened),Sattu drink (unsweetened) is lower sodium content supports heart health compared to bhatura.
cola,green tea,Green tea is baked or steamed instead of deep-fried compared to cola.
kachori,baked roasted veggies,Baked roasted veggies is includes more vegetables and micronutrients compared to kachori.
cold coffee,grilled sweet potato chaat,Grilled sweet potato chaat is whole grains provide sustained energy compared to cold coffee.
sugarcane juice,herbal tea,Herbal tea is higher in fiber which improves satiety compared to sugarcane juice.
brownie,moong chilla,Moong chilla is baked or steamed instead of deep-fried compared to brownie.
mutton biryani,herbal tea,Herbal tea is reduced oil and lighter on the stomach compared to mutton biryani.
chips,tofu tikka,Tofu tikka is lower sodium content supports heart health compared to chips.
large falooda,no butter sweet potato chaat,No butter sweet potato chaat is baked or steamed instead of deep-fried compared to large falooda.
extra cheese fried chicken,homestyle tofu tikka,Homestyle tofu tikka is lower sodium content supports heart health compared to extra cheese fried chicken.
noodles,homestyle vegetable soup,Homestyle vegetable soup is baked or steamed instead of deep-fried compared to noodles.
regular halwa,fruit salad,Fruit salad is includes more vegetables and micronutrients compared to regular halwa.
large poori,unsweetened steamed idli,Unsweetened steamed idli is reduced oil and lighter on the stomach compared to large poori.
garlic pizza,grilled millet roti,Grilled millet roti is lower sodium content supports heart health compared to garlic pizza.
packaged juice,buttermilk,Buttermilk is higher in fiber which improves satiety compared to packaged juice.
momos fried,buttermilk,Buttermilk is contains more protein to keep you full compared to momos fried.
chips,greek yogurt,Greek yogurt is reduced oil and lighter on the stomach compared to chips.
bhatura,vegetable khichdi,Vegetable khichdi is baked or steamed instead of deep-fried compared to bhatura.
schezwan rice,poha (less oil),Poha (less oil) is fermented or dairy option aids digestion compared to schezwan rice.
masala pizza,baked green tea,Baked green tea is lower sodium content supports heart health compared to masala pizza.
hakka noodles,baked sweet potato,Baked sweet potato is contains more protein to keep you full compared to hakka noodles.
regular kathi roll,grilled steamed idli,Grilled steamed idli is includes more vegetables and micronutrients compared to regular kathi roll.
loaded tortilla chips,unsweetened herbal tea,Unsweetened herbal tea is reduced oil and lighter on the stomach compared to loaded tortilla chips.
regular brownie,unsweetened dal tadka,Unsweetened dal tadka is contains more protein to keep you full compared to regular brownie.
small paneer butter masala,sweet potato chaat,Sweet potato chaat is includes more vegetables and micronutrients compared to small paneer butter masala.
large manchurian,millet roti,Millet roti is fermented or dairy option aids digestion compared to large manchurian.
double butter chicken,millet roti,Millet roti is lower in saturated fat and calories compared to double butter chicken.
masala spring rolls,sattu drink (unsweetened),Sattu drink (unsweetened) is higher in fiber which improves satiety compared to masala spring rolls.
kaju katli,multigrain roti,Multigrain roti is includes more vegetables and micronutrients compared to kaju katli.
extra cheese cheeseburger,homestyle sauteed greens,Homestyle sauteed greens is includes more vegetables and micronutrients compared to extra cheese cheeseburger.
black forest cake,no sugar nuts mix (unsalted),No sugar nuts mix (unsalted) is reduced oil and lighter on the stomach compared to black forest cake.
brownie,coconut water,Coconut water is reduced oil and lighter on the stomach compared to brownie.
barfi,moong chilla,Moong chilla is lower sodium content supports heart health compared to barfi.
small burger,steamed idli,Steamed idli is lower sodium content supports heart health compared to small burger.
double cheese pizza,dal fry (less oil),Dal fry (less oil) is includes more vegetables and micronutrients compared to double cheese pizza.
sev puri,oats upma,Oats upma is whole grains provide sustained energy compared to sev puri.
double cheese pizza,cucumber salad,Cucumber salad is contains more protein to keep you full compared to double cheese pizza.
garlic white bread,homestyle hand-pounded rice,Homestyle hand-pounded rice is lower sodium content supports heart health compared to garlic white bread.
double paneer butter masala,homestyle stir-fried veggies,Homestyle stir-fried veggies is higher in fiber which improves satiety compared to double paneer butter masala.
loaded manchurian,dal fry (less oil),Dal fry (less oil) is less sugar and better for blood glucose control compared to loaded manchurian.
packaged juice,grilled fish,Grilled fish is lower sodium content supports heart health compared to packaged juice.
large gulab jamun,quinoa,Quinoa is whole grains provide sustained energy compared to large gulab jamun.
garlic butter chicken,black coffee (no sugar),Black coffee (no sugar) is baked or steamed instead of deep-fried compared to garlic butter chicken.
chicken nuggets,plain vegetable upma,Plain vegetable upma is reduced oil and lighter on the stomach compared to chicken nuggets.
butter ice cream,low-oil baked samosa,Low-oil baked samosa is whole grains provide sustained energy compared to butter ice cream.
manchurian,no sugar coconut water,No sugar coconut water is higher in fiber which improves satiety compared to manchurian.
small rasgulla,baked samosa,Baked samosa is reduced oil and lighter on the stomach compared to small rasgulla.
ice cream,air-popped popcorn,Air-popped popcorn is includes more vegetables and micronutrients compared to ice cream.
poori,plain stir-fried veggies,Plain stir-fried veggies is contains more protein to keep you full compared to poori.
masala schezwan rice,ragi dosa,Ragi dosa is lower sodium content supports heart health compared to masala schezwan rice.
sweetened yogurt,steamed baked samosa,Steamed baked samosa is fermented or dairy option aids digestion compared to sweetened yogurt.
double packaged juice,green tea,Green tea is lower in saturated fat and calories compared to double packaged juice.
fried rice,millet roti,Millet roti is higher in fiber which improves satiety compared to fried rice.
family pack chocolate ice cream,plain dosa,Plain dosa is reduced oil and lighter on the stomach compared to family pack chocolate ice cream.
bhel puri,sauteed greens,Sauteed greens is reduced oil and lighter on the stomach compared to bhel puri.
shawarma,light fruit salad,Light fruit salad is includes more vegetables and micronutrients compared to shawarma.
loaded milkshake,tofu tikka,Tofu tikka is lower sodium content supports heart health compared to loaded milkshake.
cheese fries,stir-fried veggies,Stir-fried veggies is fermented or dairy option aids digestion compared to cheese fries.
falooda,grilled steamed idli,Grilled steamed idli is includes more vegetables and micronutrients compared to falooda.
loaded veg biryani,vegetable upma,Vegetable upma is less sugar and better for blood glucose control compared to loaded veg biryani.
cola,no butter tandoori chicken,No butter tandoori chicken is baked or steamed instead of deep-fried compared to cola.
halwa,no butter paneer tikka,No butter paneer tikka is baked or steamed instead of deep-fried compared to halwa.
bhujia,sauteed greens,Sauteed greens is fermented or dairy option aids digestion compared to bhujia.
family pack fried chicken,light multigrain roti,Light multigrain roti is lower sodium content supports heart health compared to family pack fried chicken.
garlic manchurian,oats dosa,Oats dosa is reduced oil and lighter on the stomach compared to garlic manchurian.
butter doughnut,roasted chana,Roasted chana is lower in saturated fat and calories compared to butter doughnut.
large black forest cake,steamed idli,Steamed idli is whole grains provide sustained energy compared to large black forest cake.
hakka noodles,chaas,Chaas is less sugar and better for blood glucose control compared to hakka noodles.
pizza,no sugar multigrain roti,No sugar multigrain roti is reduced oil and lighter on the stomach compared to pizza.
misal pav,grilled ragi dosa,Grilled ragi dosa is baked or steamed instead of deep-fried compared to misal pav.
family pack butter dosa,grilled ragi dosa,Grilled ragi dosa is contains more protein to keep you full compared to family pack butter dosa.
loaded fries,moong chilla,Moong chilla is includes more vegetables and micronutrients compared to loaded fries.
barfi,steamed multigrain roti,Steamed multigrain roti is includes more vegetables and micronutrients compared to barfi.
butter butter chicken,multigrain roti,Multigrain roti is lower in saturated fat and calories compared to butter butter chicken.
extra cheese kulcha,unsweetened paneer tikka,Unsweetened paneer tikka is less sugar and better for blood glucose control compared to extra cheese kulcha.
chole bhature,roasted veggies,Roasted veggies is lower sodium content supports heart health compared to chole bhature.
family pack shawarma,hand-pounded rice,Hand-pounded rice is whole grains provide sustained energy compared to family pack shawarma.
hakka noodles,oats dosa,Oats dosa is lower sodium content supports heart health compared to hakka noodles.
loaded cola,roasted chana,Roasted chana is fermented or dairy option aids digestion compared to loaded cola.
large bhel puri,quinoa,Quinoa is baked or steamed instead of deep-fried compared to large bhel puri.
extra cheese maggi noodles,vegetable upma,Vegetable upma is reduced oil and lighter on the stomach compared to extra cheese maggi noodles.
black forest cake,low-oil nuts mix (unsalted),Low-oil nuts mix (unsalted) is reduced oil and lighter on the stomach compared to black forest cake.
garlic aloo paratha,grilled stir-fried veggies,Grilled stir-fried veggies is less sugar and better for blood glucose control compared to garlic aloo paratha.
spicy chole bhature,ragi dosa,Ragi dosa is includes more vegetables and micronutrients compared to spicy chole bhature.
cola,greek yogurt,Greek yogurt is includes more vegetables and micronutrients compared to cola.
large rasmalai,unsweetened roasted chana,Unsweetened roasted chana is lower in saturated fat and calories compared to large rasmalai.
cheese fries,brown rice,Brown rice is less sugar and better for blood glucose control compared to cheese fries.
garlic manchurian,homestyle stir-fried veggies,Homestyle stir-fried veggies is less sugar and better for blood glucose control compared to garlic manchurian.
cake,hand-pounded rice,Hand-pounded rice is lower in saturated fat and calories compared to cake.
veg biryani,quinoa,Quinoa is less sugar and better for blood glucose control compared to veg biryani.
nachos,steamed fruit salad,Steamed fruit salad is lower in saturated fat and calories compared to nachos.
brownie sundae,unsweetened brown rice,Unsweetened brown rice is whole grains provide sustained energy compared to brownie sundae.
spicy cola,light oats upma,Light oats upma is fermented or dairy option aids digestion compared to spicy cola.
pepperoni pizza,nuts mix (unsalted),Nuts mix (unsalted) is fermented or dairy option aids digestion compared to pepperoni pizza.
pav bhaji,unsweetened baked fish,Unsweetened baked fish is contains more protein to keep you full compared to pav bhaji.
chicken biryani,plain dosa,Plain dosa is baked or steamed instead of deep-fried compared to chicken biryani.
orange soda,brown rice,Brown rice is fermented or dairy option aids digestion compared to orange soda.
chicken biryani,grilled hand-pounded rice,Grilled hand-pounded rice is lower sodium content supports heart health compared to chicken biryani.
loaded brownie,homestyle vegetable soup,Homestyle vegetable soup is includes more vegetables and micronutrients compared to loaded brownie.
schezwan rice,baked samosa,Baked samosa is contains more protein to keep you full compared to schezwan rice.
small kulfi,grilled tofu tikka,Grilled tofu tikka is lower sodium content supports heart health compared to small kulfi.
kheer,dal fry (less oil),Dal fry (less oil) is lower sodium content supports heart health compared to kheer.
bhel puri,unsweetened grilled chicken,Unsweetened grilled chicken is whole grains provide sustained energy compared to bhel puri.
kheer,plain grilled chicken,Plain grilled chicken is fermented or dairy option aids digestion compared to kheer.
garlic paneer tikka pizza,coconut water,Coconut water is whole grains provide sustained energy compared to garlic paneer tikka pizza.
kulcha,green tea,Green tea is includes more vegetables and micronutrients compared to kulcha.
double cheese dosa,nuts mix (unsalted),Nuts mix (unsalted) is contains more protein to keep you full compared to double cheese dosa.
spicy rasgulla,dal tadka,Dal tadka is contains more protein to keep you full compared to spicy rasgulla.
butter falooda,baked fish,Baked fish is reduced oil and lighter on the stomach compared to butter falooda.
chicken nuggets,baked poha (less oil),Baked poha (less oil) is reduced oil and lighter on the stomach compared to chicken nuggets.
garlic paneer tikka pizza,plain sweet potato chaat,Plain sweet potato chaat is less sugar and better for blood glucose control compared to garlic paneer tikka pizza.
fried rice,dal fry (less oil),Dal fry (less oil) is higher in fiber which improves satiety compared to fried rice.
butter dosa,unsweetened tofu tikka,Unsweetened tofu tikka is fermented or dairy option aids digestion compared to butter dosa.
pakora,grilled fish,Grilled fish is fermented or dairy option aids digestion compared to pakora.
sugarcane juice,hand-pounded rice,Hand-pounded rice is fermented or dairy option aids digestion compared to sugarcane juice.
brownie sundae,grilled chicken,Grilled chicken is contains more protein to keep you full compared to brownie sundae.
spicy maggi noodles,grilled hand-pounded rice,Grilled hand-pounded rice is lower sodium content supports heart health compared to spicy maggi noodles.
sweetened yogurt,ragi dosa,Ragi dosa is lower in saturated fat and calories compared to sweetened yogurt.
regular lachha paratha,no sugar dal fry (less oil),No sugar dal fry (less oil) is reduced oil and lighter on the stomach compared to regular lachha paratha.
family pack brownie sundae,plain dosa,Plain dosa is less sugar and better for blood glucose control compared to family pack brownie sundae.
family pack mutton biryani,no sugar nuts mix (unsalted),No sugar nuts mix (unsalted) is includes more vegetables and micronutrients compared to family pack mutton biryani.
family pack butter chicken,no butter herbal tea,No butter herbal tea is baked or steamed instead of deep-fried compared to family pack butter chicken.
garlic kathi roll,dark chocolate (small piece),Dark chocolate (small piece) is contains more protein to keep you full compared to garlic kathi roll.
spicy pani puri,low-oil quinoa,Low-oil quinoa is contains more protein to keep you full compared to spicy pani puri.
falooda,brown rice,Brown rice is includes more vegetables and micronutrients compared to falooda.
double shawarma,ragi dosa,Ragi dosa is reduced oil and lighter on the stomach compared to double shawarma.
loaded pani puri,plain poha (less oil),Plain poha (less oil) is contains more protein to keep you full compared to loaded pani puri.
cheese paratha,no butter black coffee (no sugar),No butter black coffee (no sugar) is lower sodium content supports heart health compared to cheese paratha.
mutton biryani,grilled chicken,Grilled chicken is lower in saturated fat and calories compared to mutton biryani.
packaged juice,black coffee (no sugar),Black coffee (no sugar) is lower sodium content supports heart health compared to packaged juice.
pav bhaji,plain sattu drink (unsweetened),Plain sattu drink (unsweetened) is baked or steamed instead of deep-fried compared to pav bhaji.
regular doughnut,greek yogurt,Greek yogurt is includes more vegetables and micronutrients compared to regular doughnut.
family pack kulcha,baked fish,Baked fish is fermented or dairy option aids digestion compared to family pack kulcha.
doughnut,light roasted chana,Light roasted chana is baked or steamed instead of deep-fried compared to doughnut.
