medicine,use,side_effect,condition,age_grp,risk_level,food_allergies,allergens_medicine,food_name,ingredients,main_ingredient,allergens,alternative_food
nitrofurantoin,urinary antiseptic,rashes,Cold,Adult,dangerous,sesame,increases side effects,halwa,"semolina, ghee, sugar",semolina,increases side effects,"Brown Rice Kheer, Fruit Salad, Millet Halwa"
gliclazide,treatment of diabetes,stomach pain,Asthma,Adult,safe,No allergens reported,additive stimulation,ramen,"noodles, soy sauce, onion",noodles,additive stimulation,"Brown Rice Noodles, Millet Pasta, Quinoa Pasta"
bupropion,anti-depressant,vomiting,Flu,Senior,cautious,wheat,increases side effects,halwa,"semolina, ghee, sugar",semolina,increases side effects,"Brown Rice Kheer, Fruit Salad, Millet Halwa"
fexofenadine,anti-allergy,fatigue,Cold,Adult,safe,No allergens reported,hypertensive crisis,beer,"barley, hops, yeast",barley,hypertensive crisis,No alternative available
dabigatran,blood thinner,nausea,Hypertension,Child,cautious,peanuts,additive stimulation,chole,"chickpeas, tomato, onion",chickpeas,additive stimulation,"Red Kidney Beans, Black Beans, Green Peas"
pravastatin,cholesterol control,dizziness,Cold,Adult,cautious,eggs,additive stimulation,chole,"chickpeas, tomato, onion",chickpeas,additive stimulation,"Red Kidney Beans, Black Beans, Green Peas"
metronidazole,antibiotic,headache,Asthma,Adult,cautious,No allergens reported,hypertensive crisis,beer,"barley, hops, yeast",barley,hypertensive crisis,No alternative available
dabigatran,blood thinner,nausea,Flu,Child,safe,peanuts,reduced absorption,dark chocolate,"cocoa, sugar, milk",cocoa,reduced absorption,"Carob Bar, Milk Chocolate"
magnesium supplements,treatment of kidney stone,tiredness,Asthma,Child,cautious,No allergens reported,no major risk,red wine,"grapes, yeast",grapes,no major risk,No alternative available
bupropion,anti-depressant,vomiting,Hypertension,Senior,dangerous,wheat,reduced effectiveness,biryani,"rice, spices, chicken",rice,reduced effectiveness,No alternative available
gliclazide,treatment of diabetes,stomach pain,Cold,Adult,safe,No allergens reported,no major risk,kadhi,"turmeric, curd, gram flour",curd,no major risk,No alternative available
bupropion,anti-depressant,vomiting,Hypertension,Adult,dangerous,wheat,reduced effectiveness,biryani,"rice, spices, chicken",rice,reduced effectiveness,No alternative available
metronidazole,antibiotic,headache,Fever,Adult,dangerous,No allergens reported,reduced effectiveness,biryani,"rice, spices, chicken",rice,reduced effectiveness,No alternative available
magnesium supplements,treatment of kidney stone,tiredness,Hypertension,Child,cautious,No allergens reported,no major risk,red wine,"grapes, yeast",grapes,no major risk,No alternative available
nitrofurantoin,urinary antiseptic,rashes,Asthma,Senior,safe,sesame,disulfiram-like reaction,aged cheese,"milk, rennet",milk,disulfiram-like reaction,"Vegan Cheese, Nutritional Yeast, Cottage Cheese"
magnesium supplements,treatment of kidney stone,tiredness,Flu,Child,dangerous,No allergens reported,additive stimulation,chole,"chickpeas, tomato, onion",chickpeas,additive stimulation,"Red Kidney Beans, Black Beans, Green Peas"
metronidazole,antibiotic,headache,Fever,Child,cautious,No allergens reported,additive stimulation,ramen,"noodles, soy sauce, onion",noodles,additive stimulation,"Brown Rice Noodles, Millet Pasta, Quinoa Pasta"
bupropion,anti-depressant,vomiting,Asthma,Adult,cautious,wheat,hypertensive crisis,beer,"barley, hops, yeast",barley,hypertensive crisis,No alternative available
magnesium supplements,treatment of kidney stone,tiredness,Cold,Senior,cautious,No allergens reported,hypertensive crisis,beer,"barley, hops, yeast",barley,hypertensive crisis,No alternative available
gliclazide,treatment of diabetes,stomach pain,Flu,Child,safe,No allergens reported,no major risk,red wine,"grapes, yeast",grapes,no major risk,No alternative available
phenytoin,anti-seizure,diarrhea,Hypertension,Senior,dangerous,No allergens reported,no major risk,kadhi,"turmeric, curd, gram flour",curd,no major risk,No alternative available
phenytoin,anti-seizure,diarrhea,Fever,Child,dangerous,No allergens reported,hypertensive crisis,beer,"barley, hops, yeast",barley,hypertensive crisis,No alternative available
gliclazide,treatment of diabetes,stomach pain,Flu,Child,cautious,No allergens reported,additive stimulation,chole,"chickpeas, tomato, onion",chickpeas,additive stimulation,"Red Kidney Beans, Black Beans, Green Peas"
metronidazole,antibiotic,headache,Flu,Child,safe,No allergens reported,no major risk,kadhi,"turmeric, curd, gram flour",curd,no major risk,No alternative available
dabigatran,blood thinner,nausea,Cold,Senior,cautious,peanuts,additive stimulation,chole,"chickpeas, tomato, onion",chickpeas,additive stimulation,"Red Kidney Beans, Black Beans, Green Peas"
nitrofurantoin,urinary antiseptic,rashes,Hypertension,Child,safe,sesame,disulfiram-like reaction,aged cheese,"milk, rennet",milk,disulfiram-like reaction,"Vegan Cheese, Nutritional Yeast, Cottage Cheese"
nitrofurantoin,urinary antiseptic,rashes,Hypertension,Senior,safe,sesame,no major risk,red wine,"grapes, yeast",grapes,no major risk,No alternative available
nitrofurantoin,urinary antiseptic,rashes,Asthma,Senior,dangerous,sesame,reduced effectiveness,biryani,"rice, spices, chicken",rice,reduced effectiveness,No alternative available
magnesium supplements,treatment of kidney stone,tiredness,Cold,Adult,dangerous,No allergens reported,additive stimulation,chole,"chickpeas, tomato, onion",chickpeas,additive stimulation,"Red Kidney Beans, Black Beans, Green Peas"
nitrofurantoin,urinary antiseptic,rashes,Flu,Senior,dangerous,sesame,hypertensive crisis,beer,"barley, hops, yeast",barley,hypertensive crisis,No alternative available
phenytoin,anti-seizure,diarrhea,Flu,Adult,safe,No allergens reported,disulfiram-like reaction,aged cheese,"milk, rennet",milk,disulfiram-like reaction,"Vegan Cheese, Nutritional Yeast, Cottage Cheese"
phenytoin,anti-seizure,diarrhea,Flu,Adult,dangerous,No allergens reported,additive stimulation,chole,"chickpeas, tomato, onion",chickpeas,additive stimulation,"Red Kidney Beans, Black Beans, Green Peas"
metronidazole,antibiotic,headache,Cold,Child,safe,No allergens reported,reduced effectiveness,biryani,"rice, spices, chicken",rice,reduced effectiveness,No alternative available
nitrofurantoin,urinary antiseptic,rashes,Flu,Child,cautious,sesame,reduced absorption,dark chocolate,"cocoa, sugar, milk",cocoa,reduced absorption,"Carob Bar, Milk Chocolate"
gliclazide,treatment of diabetes,stomach pain,Hypertension,Senior,safe,No allergens reported,no major risk,kadhi,"turmeric, curd, gram flour",curd,no major risk,No alternative available
magnesium supplements,treatment of kidney stone,tiredness,Flu,Child,cautious,No allergens reported,reduced effectiveness,biryani,"rice, spices, chicken",rice,reduced effectiveness,No alternative available
gliclazide,treatment of diabetes,stomach pain,Flu,Child,safe,No allergens reported,no major risk,kadhi,"turmeric, curd, gram flour",curd,no major risk,No alternative available
pravastatin,cholesterol control,dizziness,Cold,Child,dangerous,eggs,reduced effectiveness,biryani,"rice, spices, chicken",rice,reduced effectiveness,No alternative available
fexofenadine,anti-allergy,fatigue,Fever,Adult,cautious,No allergens reported,hypertensive crisis,beer,"barley, hops, yeast",barley,hypertensive crisis,No alternative available
nitrofurantoin,urinary antiseptic,rashes,Fever,Child,cautious,sesame,no major risk,kadhi,"turmeric, curd, gram flour",curd,no major risk,No alternative available
fexofenadine,anti-allergy,fatigue,Cold,Child,cautious,No allergens reported,reduced absorption,rasmalai,"milk, sugar, saffron",milk,reduced absorption,No alternative available
pravastatin,cholesterol control,dizziness,Cold,Senior,dangerous,eggs,no major risk,red wine,"grapes, yeast",grapes,no major risk,No alternative available
gliclazide,treatment of diabetes,stomach pain,Fever,Senior,dangerous,No allergens reported,hypertensive crisis,beer,"barley, hops, yeast",barley,hypertensive crisis,No alternative available
fexofenadine,anti-allergy,fatigue,Cold,Senior,cautious,No allergens reported,reduced absorption,dark chocolate,"cocoa, sugar, milk",cocoa,reduced absorption,"Carob Bar, Milk Chocolate"
metronidazole,antibiotic,headache,Fever,Adult,cautious,No allergens reported,reduced effectiveness,biryani,"rice, spices, chicken",rice,reduced effectiveness,No alternative available
pravastatin,cholesterol control,dizziness,Flu,Senior,safe,eggs,increases side effects,halwa,"semolina, ghee, sugar",semolina,increases side effects,"Brown Rice Kheer, Fruit Salad, Millet Halwa"
metronidazole,antibiotic,headache,Asthma,Child,dangerous,No allergens reported,additive stimulation,chole,"chickpeas, tomato, onion",chickpeas,additive stimulation,"Red Kidney Beans, Black Beans, Green Peas"
metronidazole,antibiotic,headache,Fever,Adult,safe,No allergens reported,no major risk,red wine,"grapes, yeast",grapes,no major risk,No alternative available
nitrofurantoin,urinary antiseptic,rashes,Hypertension,Senior,dangerous,sesame,reduced absorption,rasmalai,"milk, sugar, saffron",milk,reduced absorption,No alternative available
dabigatran,blood thinner,nausea,Fever,Child,safe,peanuts,no major risk,kadhi,"turmeric, curd, gram flour",curd,no major risk,No alternative available
phenytoin,anti-seizure,diarrhea,Fever,Senior,safe,No allergens reported,no major risk,kadhi,"turmeric, curd, gram flour",curd,no major risk,No alternative available
nitrofurantoin,urinary antiseptic,rashes,Asthma,Senior,cautious,sesame,reduced effectiveness,biryani,"rice, spices, chicken",rice,reduced effectiveness,No alternative available
metronidazole,antibiotic,headache,Cold,Child,safe,No allergens reported,no major risk,red wine,"grapes, yeast",grapes,no major risk,No alternative available
metronidazole,antibiotic,headache,Cold,Senior,dangerous,No allergens reported,hypertensive crisis,beer,"barley, hops, yeast",barley,hypertensive crisis,No alternative available
nitrofurantoin,urinary antiseptic,rashes,Fever,Senior,dangerous,sesame,additive stimulation,ramen,"noodles, soy sauce, onion",noodles,additive stimulation,"Brown Rice Noodles, Millet Pasta, Quinoa Pasta"
magnesium supplements,treatment of kidney stone,tiredness,Asthma,Adult,cautious,No allergens reported,no major risk,kadhi,"turmeric, curd, gram flour",curd,no major risk,No alternative available
pravastatin,cholesterol control,dizziness,Hypertension,Child,cautious,eggs,reduced absorption,dark chocolate,"cocoa, sugar, milk",cocoa,reduced absorption,"Carob Bar, Milk Chocolate"
dabigatran,blood thinner,nausea,Cold,Senior,dangerous,peanuts,reduced absorption,rasmalai,"milk, sugar, saffron",milk,reduced absorption,No alternative available
gliclazide,treatment of diabetes,stomach pain,Flu,Adult,safe,No allergens reported,increases side effects,halwa,"semolina, ghee, sugar",semolina,increases side effects,"Brown Rice Kheer, Fruit Salad, Millet Halwa"
phenytoin,anti-seizure,diarrhea,Cold,Adult,cautious,No allergens reported,increases side effects,halwa,"semolina, ghee, sugar",semolina,increases side effects,"Brown Rice Kheer, Fruit Salad, Millet Halwa"
phenytoin,anti-seizure,diarrhea,Hypertension,Senior,cautious,No allergens reported,disulfiram-like reaction,aged cheese,"milk, rennet",milk,disulfiram-like reaction,"Vegan Cheese, Nutritional Yeast, Cottage Cheese"
metronidazole,antibiotic,headache,Fever,Child,safe,No allergens reported,additive stimulation,ramen,"noodles, soy sauce, onion",noodles,additive stimulation,"Brown Rice Noodles, Millet Pasta, Quinoa Pasta"
nitrofurantoin,urinary antiseptic,rashes,Flu,Child,cautious,sesame,no major risk,kadhi,"turmeric, curd, gram flour",curd,no major risk,No alternative available
dabigatran,blood thinner,nausea,Fever,Adult,cautious,peanuts,reduced effectiveness,biryani,"rice, spices, chicken",rice,reduced effectiveness,No alternative available
phenytoin,anti-seizure,diarrhea,Hypertension,Senior,safe,No allergens reported,no major risk,red wine,"grapes, yeast",grapes,no major risk,No alternative available
dabigatran,blood thinner,nausea,Flu,Child,cautious,peanuts,additive stimulation,chole,"chickpeas, tomato, onion",chickpeas,additive stimulation,"Red Kidney Beans, Black Beans, Green Peas"
nitrofurantoin,urinary antiseptic,rashes,Hypertension,Child,cautious,sesame,increases side effects,halwa,"semolina, ghee, sugar",semolina,increases side effects,"Brown Rice Kheer, Fruit Salad, Millet Halwa"
pravastatin,cholesterol control,dizziness,Cold,Adult,safe,eggs,disulfiram-like reaction,aged cheese,"milk, rennet",milk,disulfiram-like reaction,"Vegan Cheese, Nutritional Yeast, Cottage Cheese"
magnesium supplements,treatment of kidney stone,tiredness,Cold,Child,safe,No allergens reported,no major risk,kadhi,"turmeric, curd, gram flour",curd,no major risk,No alternative available
fexofenadine,anti-allergy,fatigue,Asthma,Adult,cautious,No allergens reported,increases side effects,halwa,"semolina, ghee, sugar",semolina,increases side effects,"Brown Rice Kheer, Fruit Salad, Millet Halwa"
pravastatin,cholesterol control,dizziness,Fever,Child,dangerous,eggs,no major risk,red wine,"grapes, yeast",grapes,no major risk,No alternative available
fexofenadine,anti-allergy,fatigue,Flu,Child,dangerous,No allergens reported,additive stimulation,ramen,"noodles, soy sauce, onion",noodles,additive stimulation,"Brown Rice Noodles, Millet Pasta, Quinoa Pasta"
metronidazole,antibiotic,headache,Asthma,Adult,cautious,No allergens reported,no major risk,red wine,"grapes, yeast",grapes,no major risk,No alternative available
bupropion,anti-depressant,vomiting,Flu,Child,cautious,wheat,reduced absorption,rasmalai,"milk, sugar, saffron",milk,reduced absorption,No alternative available
pravastatin,cholesterol control,dizziness,Fever,Senior,dangerous,eggs,reduced effectiveness,biryani,"rice, spices, chicken",rice,reduced effectiveness,No alternative available
phenytoin,anti-seizure,diarrhea,Flu,Child,safe,No allergens reported,hypertensive crisis,beer,"barley, hops, yeast",barley,hypertensive crisis,No alternative available
fexofenadine,anti-allergy,fatigue,Cold,Senior,safe,No allergens reported,no major risk,kadhi,"turmeric, curd, gram flour",curd,no major risk,No alternative available
phenytoin,anti-seizure,diarrhea,Cold,Child,dangerous,No allergens reported,reduced effectiveness,biryani,"rice, spices, chicken",rice,reduced effectiveness,No alternative available
fexofenadine,anti-allergy,fatigue,Asthma,Adult,safe,No allergens reported,reduced effectiveness,biryani,"rice, spices, chicken",rice,reduced effectiveness,No alternative available
pravastatin,cholesterol control,dizziness,Flu,Adult,dangerous,eggs,no major risk,kadhi,"turmeric, curd, gram flour",curd,no major risk,No alternative available
nitrofurantoin,urinary antiseptic,rashes,Hypertension,Adult,cautious,sesame,additive stimulation,chole,"chickpeas, tomato, onion",chickpeas,additive stimulation,"Red Kidney Beans, Black Beans, Green Peas"
pravastatin,cholesterol control,dizziness,Fever,Adult,safe,eggs,reduced effectiveness,biryani,"rice, spices, chicken",rice,reduced effectiveness,No alternative available
dabigatran,blood thinner,nausea,Asthma,Adult,cautious,peanuts,reduced absorption,rasmalai,"milk, sugar, saffron",milk,reduced absorption,No alternative available
bupropion,anti-depressant,vomiting,Hypertension,Child,safe,wheat,reduced effectiveness,biryani,"rice, spices, chicken",rice,reduced effectiveness,No alternative available
metronidazole,antibiotic,headache,Fever,Child,cautious,No allergens reported,increases side effects,halwa,"semolina, ghee, sugar",semolina,increases side effects,"Brown Rice Kheer, Fruit Salad, Millet Halwa"
nitrofurantoin,urinary antiseptic,rashes,Fever,Senior,cautious,sesame,reduced absorption,dark chocolate,"cocoa, sugar, milk",cocoa,reduced absorption,"Carob Bar, Milk Chocolate"
dabigatran,blood thinner,nausea,Asthma,Senior,safe,peanuts,increases side effects,halwa,"semolina, ghee, sugar",semolina,increases side effects,"Brown Rice Kheer, Fruit Salad, Millet Halwa"
nitrofurantoin,urinary antiseptic,rashes,Asthma,Adult,cautious,sesame,reduced absorption,rasmalai,"milk, sugar, saffron",milk,reduced absorption,No alternative available
pravastatin,cholesterol control,dizziness,Flu,Adult,safe,eggs,increases side effects,halwa,"semolina, ghee, sugar",semolina,increases side effects,"Brown Rice Kheer, Fruit Salad, Millet Halwa"
fexofenadine,anti-allergy,fatigue,Cold,Adult,dangerous,No allergens reported,increases side effects,halwa,"semolina, ghee, sugar",semolina,increases side effects,"Brown Rice Kheer, Fruit Salad, Millet Halwa"
bupropion,anti-depressant,vomiting,Flu,Senior,safe,wheat,additive stimulation,chole,"chickpeas, tomato, onion",chickpeas,additive stimulation,"Red Kidney Beans, Black Beans, Green Peas"
fexofenadine,anti-allergy,fatigue,Fever,Child,dangerous,No allergens reported,reduced absorption,rasmalai,"milk, sugar, saffron",milk,reduced absorption,No alternative available
phenytoin,anti-seizure,diarrhea,Asthma,Senior,dangerous,No allergens reported,reduced effectiveness,biryani,"rice, spices, chicken",rice,reduced effectiveness,No alternative available
fexofenadine,anti-allergy,fatigue,Asthma,Senior,dangerous,No allergens reported,reduced effectiveness,biryani,"rice, spices, chicken",rice,reduced effectiveness,No alternative available
phenytoin,anti-seizure,diarrhea,Hypertension,Child,cautious,No allergens reported,disulfiram-like reaction,aged cheese,"milk, rennet",milk,disulfiram-like reaction,"Vegan Cheese, Nutritional Yeast, Cottage Cheese"
magnesium supplements,treatment of kidney stone,tiredness,Cold,Adult,dangerous,No allergens reported,reduced absorption,dark chocolate,"cocoa, sugar, milk",cocoa,reduced absorption,"Carob Bar, Milk Chocolate"
phenytoin,anti-seizure,diarrhea,Asthma,Child,safe,No allergens reported,additive stimulation,ramen,"noodles, soy sauce, onion",noodles,additive stimulation,"Brown Rice Noodles, Millet Pasta, Quinoa Pasta"
fexofenadine,anti-allergy,fatigue,Hypertension,Senior,cautious,No allergens reported,hypertensive crisis,beer,"barley, hops, yeast",barley,hypertensive crisis,No alternative available
bupropion,anti-depressant,vomiting,Hypertension,Senior,safe,wheat,hypertensive crisis,beer,"barley, hops, yeast",barley,hypertensive crisis,No alternative available
metronidazole,antibiotic,headache,Cold,Adult,cautious,No allergens reported,no major risk,kadhi,"turmeric, curd, gram flour",curd,no major risk,No alternative available
pravastatin,cholesterol control,dizziness,Cold,Child,safe,eggs,disulfiram-like reaction,aged cheese,"milk, rennet",milk,disulfiram-like reaction,"Vegan Cheese, Nutritional Yeast, Cottage Cheese"
phenytoin,anti-seizure,diarrhea,Fever,Senior,cautious,No allergens reported,additive stimulation,ramen,"noodles, soy sauce, onion",noodles,additive stimulation,"Brown Rice Noodles, Millet Pasta, Quinoa Pasta"
phenytoin,anti-seizure,diarrhea,Fever,Senior,cautious,No allergens reported,reduced absorption,rasmalai,"milk, sugar, saffron",milk,reduced absorption,No alternative available
dabigatran,blood thinner,nausea,Flu,Adult,cautious,peanuts,no major risk,red wine,"grapes, yeast",grapes,no major risk,No alternative available
dabigatran,blood thinner,nausea,Cold,Child,cautious,peanuts,reduced effectiveness,biryani,"rice, spices, chicken",rice,reduced effectiveness,No alternative available
fexofenadine,anti-allergy,fatigue,Hypertension,Senior,safe,No allergens reported,reduced effectiveness,biryani,"rice, spices, chicken",rice,reduced effectiveness,No alternative available
pravastatin,cholesterol control,dizziness,Flu,Adult,cautious,eggs,no major risk,kadhi,"turmeric, curd, gram flour",curd,no major risk,No alternative available
nitrofurantoin,urinary antiseptic,rashes,Asthma,Child,dangerous,sesame,additive stimulation,chole,"chickpeas, tomato, onion",chickpeas,additive stimulation,"Red Kidney Beans, Black Beans, Green Peas"
magnesium supplements,treatment of kidney stone,tiredness,Cold,Child,cautious,No allergens reported,disulfiram-like reaction,aged cheese,"milk, rennet",milk,disulfiram-like reaction,"Vegan Cheese, Nutritional Yeast, Cottage Cheese"
bupropion,anti-depressant,vomiting,Hypertension,Child,cautious,wheat,reduced absorption,dark chocolate,"cocoa, sugar, milk",cocoa,reduced absorption,"Carob Bar, Milk Chocolate"
pravastatin,cholesterol control,dizziness,Hypertension,Senior,dangerous,eggs,no major risk,red wine,"grapes, yeast",grapes,no major risk,No alternative available
pravastatin,cholesterol control,dizziness,Fever,Senior,cautious,eggs,reduced absorption,rasmalai,"milk, sugar, saffron",milk,reduced absorption,No alternative available
pravastatin,cholesterol control,dizziness,Fever,Senior,safe,eggs,no major risk,kadhi,"turmeric, curd, gram flour",curd,no major risk,No alternative available
metronidazole,antibiotic,headache,Asthma,Child,cautious,No allergens reported,additive stimulation,ramen,"noodles, soy sauce, onion",noodles,additive stimulation,"Brown Rice Noodles, Millet Pasta, Quinoa Pasta"
phenytoin,anti-seizure,diarrhea,Cold,Child,dangerous,No allergens reported,no major risk,kadhi,"turmeric, curd, gram flour",curd,no major risk,No alternative available
gliclazide,treatment of diabetes,stomach pain,Cold,Child,dangerous,No allergens reported,no major risk,kadhi,"turmeric, curd, gram flour",curd,no major risk,No alternative available
pravastatin,cholesterol control,dizziness,Hypertension,Child,cautious,eggs,additive stimulation,ramen,"noodles, soy sauce, onion",noodles,additive stimulation,"Brown Rice Noodles, Millet Pasta, Quinoa Pasta"
nitrofurantoin,urinary antiseptic,rashes,Fever,Senior,cautious,sesame,hypertensive crisis,beer,"barley, hops, yeast",barley,hypertensive crisis,No alternative available
fexofenadine,anti-allergy,fatigue,Fever,Child,cautious,No allergens reported,reduced effectiveness,biryani,"rice, spices, chicken",rice,reduced effectiveness,No alternative available
magnesium supplements,treatment of kidney stone,tiredness,Cold,Senior,safe,No allergens reported,reduced absorption,dark chocolate,"cocoa, sugar, milk",cocoa,reduced absorption,"Carob Bar, Milk Chocolate"
phenytoin,anti-seizure,diarrhea,Cold,Senior,dangerous,No allergens reported,disulfiram-like reaction,aged cheese,"milk, rennet",milk,disulfiram-like reaction,"Vegan Cheese, Nutritional Yeast, Cottage Cheese"
fexofenadine,anti-allergy,fatigue,Fever,Senior,safe,No allergens reported,no major risk,kadhi,"turmeric, curd, gram flour",curd,no major risk,No alternative available
gliclazide,treatment of diabetes,stomach pain,Cold,Child,cautious,No allergens reported,no major risk,red wine,"grapes, yeast",grapes,no major risk,No alternative available
metronidazole,antibiotic,headache,Asthma,Adult,cautious,No allergens reported,no major risk,kadhi,"turmeric, curd, gram flour",curd,no major risk,No alternative available
pravastatin,cholesterol control,dizziness,Flu,Senior,safe,eggs,hypertensive crisis,beer,"barley, hops, yeast",barley,hypertensive crisis,No alternative available
fexofenadine,anti-allergy,fatigue,Asthma,Senior,safe,No allergens reported,increases side effects,halwa,"semolina, ghee, sugar",semolina,increases side effects,"Brown Rice Kheer, Fruit Salad, Millet Halwa"
gliclazide,treatment of diabetes,stomach pain,Fever,Adult,safe,No allergens reported,increases side effects,halwa,"semolina, ghee, sugar",semolina,increases side effects,"Brown Rice Kheer, Fruit Salad, Millet Halwa"
gliclazide,treatment of diabetes,stomach pain,Flu,Child,safe,No allergens reported,disulfiram-like reaction,aged cheese,"milk, rennet",milk,disulfiram-like reaction,"Vegan Cheese, Nutritional Yeast, Cottage Cheese"
dabigatran,blood thinner,nausea,Cold,Child,safe,peanuts,increases side effects,halwa,"semolina, ghee, sugar",semolina,increases side effects,"Brown Rice Kheer, Fruit Salad, Millet Halwa"
gliclazide,treatment of diabetes,stomach pain,Cold,Senior,cautious,No allergens reported,disulfiram-like reaction,aged cheese,"milk, rennet",milk,disulfiram-like reaction,"Vegan Cheese, Nutritional Yeast, Cottage Cheese"
dabigatran,blood thinner,nausea,Asthma,Senior,dangerous,peanuts,hypertensive crisis,beer,"barley, hops, yeast",barley,hypertensive crisis,No alternative available
nitrofurantoin,urinary antiseptic,rashes,Hypertension,Senior,safe,sesame,no major risk,kadhi,"turmeric, curd, gram flour",curd,no major risk,No alternative available
fexofenadine,anti-allergy,fatigue,Cold,Senior,dangerous,No allergens reported,no major risk,kadhi,"turmeric, curd, gram flour",curd,no major risk,No alternative available
bupropion,anti-depressant,vomiting,Flu,Child,dangerous,wheat,no major risk,kadhi,"turmeric, curd, gram flour",curd,no major risk,No alternative available
nitrofurantoin,urinary antiseptic,rashes,Cold,Child,safe,sesame,no major risk,red wine,"grapes, yeast",grapes,no major risk,No alternative available
nitrofurantoin,urinary antiseptic,rashes,Cold,Senior,safe,sesame,additive stimulation,ramen,"noodles, soy sauce, onion",noodles,additive stimulation,"Brown Rice Noodles, Millet Pasta, Quinoa Pasta"
pravastatin,cholesterol control,dizziness,Flu,Child,dangerous,eggs,no major risk,red wine,"grapes, yeast",grapes,no major risk,No alternative available
dabigatran,blood thinner,nausea,Cold,Child,cautious,peanuts,hypertensive crisis,beer,"barley, hops, yeast",barley,hypertensive crisis,No alternative available
magnesium supplements,treatment of kidney stone,tiredness,Flu,Senior,cautious,No allergens reported,additive stimulation,ramen,"noodles, soy sauce, onion",noodles,additive stimulation,"Brown Rice Noodles, Millet Pasta, Quinoa Pasta"
nitrofurantoin,urinary antiseptic,rashes,Cold,Adult,cautious,sesame,hypertensive crisis,beer,"barley, hops, yeast",barley,hypertensive crisis,No alternative available
fexofenadine,anti-allergy,fatigue,Cold,Adult,cautious,No allergens reported,increases side effects,halwa,"semolina, ghee, sugar",semolina,increases side effects,"Brown Rice Kheer, Fruit Salad, Millet Halwa"
gliclazide,treatment of diabetes,stomach pain,Cold,Senior,dangerous,No allergens reported,additive stimulation,chole,"chickpeas, tomato, onion",chickpeas,additive stimulation,"Red Kidney Beans, Black Beans, Green Peas"
pravastatin,cholesterol control,dizziness,Fever,Adult,dangerous,eggs,reduced effectiveness,biryani,"rice, spices, chicken",rice,reduced effectiveness,No alternative available
nitrofurantoin,urinary antiseptic,rashes,Flu,Adult,cautious,sesame,disulfiram-like reaction,aged cheese,"milk, rennet",milk,disulfiram-like reaction,"Vegan Cheese, Nutritional Yeast, Cottage Cheese"
nitrofurantoin,urinary antiseptic,rashes,Fever,Adult,cautious,sesame,reduced absorption,dark chocolate,"cocoa, sugar, milk",cocoa,reduced absorption,"Carob Bar, Milk Chocolate"
metronidazole,antibiotic,headache,Flu,Senior,dangerous,No allergens reported,hypertensive crisis,beer,"barley, hops, yeast",barley,hypertensive crisis,No alternative available
metronidazole,antibiotic,headache,Fever,Adult,safe,No allergens reported,additive stimulation,chole,"chickpeas, tomato, onion",chickpeas,additive stimulation,"Red Kidney Beans, Black Beans, Green Peas"
gliclazide,treatment of diabetes,stomach pain,Asthma,Child,safe,No allergens reported,hypertensive crisis,beer,"barley, hops, yeast",barley,hypertensive crisis,No alternative available
bupropion,anti-depressant,vomiting,Cold,Senior,safe,wheat,reduced absorption,rasmalai,"milk, sugar, saffron",milk,reduced absorption,No alternative available
gliclazide,treatment of diabetes,stomach pain,Cold,Child,dangerous,No allergens reported,hypertensive crisis,beer,"barley, hops, yeast",barley,hypertensive crisis,No alternative available
magnesium supplements,treatment of kidney stone,tiredness,Fever,Adult,safe,No allergens reported,additive stimulation,chole,"chickpeas, tomato, onion",chickpeas,additive stimulation,"Red Kidney Beans, Black Beans, Green Peas"
dabigatran,blood thinner,nausea,Cold,Adult,dangerous,peanuts,reduced absorption,dark chocolate,"cocoa, sugar, milk",cocoa,reduced absorption,"Carob Bar, Milk Chocolate"
nitrofurantoin,urinary antiseptic,rashes,Hypertension,Adult,safe,sesame,reduced effectiveness,biryani,"rice, spices, chicken",rice,reduced effectiveness,No alternative available
nitrofurantoin,urinary antiseptic,rashes,Cold,Child,cautious,sesame,no major risk,red wine,"grapes, yeast",grapes,no major risk,No alternative available
metronidazole,antibiotic,headache,Cold,Child,safe,No allergens reported,additive stimulation,chole,"chickpeas, tomato, onion",chickpeas,additive stimulation,"Red Kidney Beans, Black Beans, Green Peas"
pravastatin,cholesterol control,dizziness,Flu,Senior,cautious,eggs,reduced effectiveness,biryani,"rice, spices, chicken",rice,reduced effectiveness,No alternative available
nitrofurantoin,urinary antiseptic,rashes,Flu,Child,dangerous,sesame,increases side effects,halwa,"semolina, ghee, sugar",semolina,increases side effects,"Brown Rice Kheer, Fruit Salad, Millet Halwa"
gliclazide,treatment of diabetes,stomach pain,Asthma,Adult,safe,No allergens reported,reduced effectiveness,biryani,"rice, spices, chicken",rice,reduced effectiveness,No alternative available
dabigatran,blood thinner,nausea,Asthma,Senior,dangerous,peanuts,additive stimulation,ramen,"noodles, soy sauce, onion",noodles,additive stimulation,"Brown Rice Noodles, Millet Pasta, Quinoa Pasta"
fexofenadine,anti-allergy,fatigue,Flu,Adult,safe,No allergens reported,additive stimulation,ramen,"noodles, soy sauce, onion",noodles,additive stimulation,"Brown Rice Noodles, Millet Pasta, Quinoa Pasta"
pravastatin,cholesterol control,dizziness,Cold,Senior,safe,eggs,increases side effects,halwa,"semolina, ghee, sugar",semolina,increases side effects,"Brown Rice Kheer, Fruit Salad, Millet Halwa"
