condition,food,warning,explanation
dementia,alcohol,safe,"evidence suggests that consuming light-to-moderate amounts of alcohol reduces the risk of dementia and is associated better cognitive function and less cardiovascular disease, relative to those consuming no or heavy alcohol."
asthma,ginger,safe,"curcumin, is a polyphenol from curcuma longa (turmeric plant), is a polyphenol that belongs to the ginger family which has long been used in ayurveda medicines to treat various diseases such as asthma, anorexia, coughing, hepatic diseases, diabetes, heart diseases, wound healing and alzheimer's."
obesity,certain foods,dangerous,"portion sizes for certain foods have been increasing dramatically in recent years alongside obesity rates, concurring with the phenomenon of the portion size effect (more is consumed when more is offered)."
prediabetes,cakes/cookies/pies,can worsen,cakes/cookies/pies with serving size 28.4g recorded in nhanes dietary data for hypertension and prediabetes patients.
hypertension,shakes/drink mixes,can worsen,shakes/drink mixes with serving size 166.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
foodallergies,food additives,dangerous,"the article presents data on causally significant food allergens and food additives that cause the development of food allergies, as well as information on the main food proteins and their components involved in the formation of cross-reactivity."
hypertension,butter,dangerous,butter is high in fat/sugar and may worsen hypertension.
hypertension,oil,can worsen,oil with serving size 14.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
osteoporosis,tea,safe,"tea drinking has positive effects on bone health and may prevent and treat osteoporosis, especially in older and postmenopausal women."
allergic reactions,wheat,dangerous,wheat is one of the five most common foods that trigger allergic reactions in children.
respiratory complications,milk,dangerous,"it is suggested that recurrent inhalation of milk and food, consequent upon disordered oesophageal motility, is the major factor causing these respiratory complications."
respiratory diseases,protein-containing dust,dangerous,influence of protein-containing dust on the workers results in respiratory diseases.
memory dysfunction,ginger,safe,"ginger, which has been widely used for dietary condiment, has been reported to improve memory dysfunction in an animal model of alzheimer's disease (ad)."
prediabetes,raw apple/apricot/avocado/banana/cantaloupe/cherries/fig/grapes/mango/pear/pineapple/,can worsen,raw apple/apricot/avocado/banana/cantaloupe/cherries/fig/grapes/mango/pear/pineapple/ with serving size 182.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
hypertension,macaroni/noodle/pasta/rice,safe,macaroni/noodle/pasta/rice may support balanced diet for hypertension.
prediabetes,potato,safe,potato may support balanced diet for prediabetes.
type 2 diabetes,cocoa consumption,safe,"regular cocoa consumption has been shown to improve blood pressure (bp), insulin sensitivity, and lipid levels in patients with type 2 diabetes (t2d), using up to 100 g of chocolate or 54 g of cocoa."
respiratory diseases,flour dust,dangerous,"for decades, occupational exposure to flour dust has been linked to a range of respiratory diseases, including occupational asthma, thought to result from exposure to fungi present in the flour."
coronary heart disease,meat,dangerous,"regular intake of foods rich in saturated fats, such as meat and certain dairy products, raises the risk of coronary heart disease, especially in smokers."
diarrhea,quercus liaotungensis koidz,safe,"acorn obtained from the quercus liaotungensis koidz tree is consumed as a chinese folk medicine for the treatment of diarrhea, abdominal pain, and inflammation, also having strong antioxidant activity and have been utilized for the treatment of diabetes in china."
diabetic,beans,safe,"common beans have been associated with anti-diabetic effects, due to its high content of bioactive compounds."
alzheimer's disease,beer,safe,"we have previously demonstrated that the consumption of iso-ãâãâãâãâ±-acids (iaa), which are hop-derived bitter compounds in beer, prevents the formation of disease pathology in a transgenic mouse model of alzheimer's disease (ad)."
prediabetes,sussages,safe,sussages may support balanced diet for prediabetes.
nephrolithiasis,high carbohydrate diets,dangerous,"based on these observations, some investigators believe that long term intake of high carbohydrate diets may increase the risk of nephrolithiasis and possibly osteoporosis."
neurodegenerative diseases,various foods,safe,"many reports have indicated that luteolin, a flavone found in various foods, has preventive and therapeutic value for neurodegenerative diseases including ad."
hypertension,coffee,safe,"respondents with overweight (aor 1.44, 95%ci: 1.02-2.02), khat chewing (aor3.31, 95%ci: 1.94-5.64), low fruit and/or vegetable consumption (aor 1.27, 95%ci: 1.05-1.53) and those who do not use coffee and tea (aor 1.52, 95%ci: 1.03-2.24) had significantly higher likelihood of hypertension."
blood stasis,red yeast rice,safe,red yeast rice is a food fermentation product widely used to promote blood circulation and remove blood stasis.
hypertension,carrots/pumpkin/squash/sweet potato/,dangerous,carrots/pumpkin/squash/sweet potato/ is high in fat/sugar and may worsen hypertension.
allergic reaction,wheat,dangerous,"wheat is a food allergen that occasionally causes a systemic allergic reaction; however, little is known about the quantities of wheat allergen required to evoke allergic symptoms."
dental caries,dietary sugar,dangerous,"dietary sugar, especially in liquid form, increases risk of dental caries, adiposity, and type 2 diabetes."
bronchiolitis obliterans,butter flavoring vapors,dangerous,"in 2000, inhalation of butter flavoring vapors was first associated with clinical bronchiolitis obliterans among workers in microwave popcorn production."
hypertension,dried fruit,can worsen,dried fruit with serving size 28.4g recorded in nhanes dietary data for hypertension and prediabetes patients.
noncommunicable diseases,trans-fatty acids,dangerous,"pakistan is among the nations with a high intake of trans-fatty acids (tfas), a major dietary risk factor of noncommunicable diseases (ncds)."
prediabetes,beans,safe,beans is nutritious and may help manage prediabetes.
coronary disease,tea,safe,"flavonoid antioxidants with 2- or 3-phenylchroman structures such as quercetin, kaempferol, myricetin, apigenin, and luteolin, constituents of fruits, vegetables, tea, and wine, which may reduce coronary disease and cancer, are described."
urinary tract infections,vaccinium macrocarpon,safe,"younger women will use botanicals for urinary tract infections, especially vaccinium macrocarpon (cranberry), where there is evidence for efficacy."
hypertension,egg omelet substitute,safe,egg omelet substitute may support balanced diet for hypertension.
prediabetes,dried fruit,safe,dried fruit is nutritious and may help manage prediabetes.
hypoalbuminemia,rice milk,dangerous,"although several cases of severe hypoalbuminemia resulting from rice milk have been described in the past, today the use of rice milk without nutritional counseling to treat eczema is still a continuing, poor practice."
skin irritations,p. cauliflora,safe,"the fruits of p. cauliflora are used as food, and almost all parts of this species have long been used as a traditional brazilian medicine for the treatment of skin irritations, flu, diarrhea, labyrinthitis, genito-urinary problems, and asthma."
diabetes,sucrose,dangerous,"chocolate milk is one of the most commonly used non-fermentative dairy products, which, due to high level of sucrose, could lead to diabetes and tooth decay among children."
heart disease,cigarette smoke,dangerous,"cigarette smoke (cs) causes about 480,000 deaths each year worldwide and is well-known to have harmful effects on the human body, leading to heart disease, stroke, lung cancer, and cardiovascular problems."
cardiovascular disease,yogurt,safe,"the consumption of dairy, including milk, cheese and yogurt, has been associated with better quality of diet and reduced risk of cardiovascular disease, the leading cause of death globally."
