medicine,food,interaction,warning,explanation
cetirizine,garlic,safe,no major risk,Garlic with cetirizine generally poses no significant problem when consumed in moderation.
sitagliptin,pasta,safe,no major risk,Pasta with sitagliptin generally poses no significant problem when consumed in moderation.
clarithromycin,orange juice,safe,no major risk,Orange juice with clarithromycin generally poses no significant problem when consumed in moderation.
enoxaparin,veg biryani,safe,no major risk,Veg biryani with enoxaparin generally poses no significant problem when consumed in moderation.
gliclazide,cheese,safe,no major risk,Cheese with gliclazide generally poses no significant problem when consumed in moderation.
esomeprazole,gulab jamun,safe,no major risk,Gulab jamun with esomeprazole generally poses no significant problem when consumed in moderation.
metoprolol,biryani,safe,no major risk,Biryani with metoprolol generally poses no significant problem when consumed in moderation.
loratadine,dried apricots,safe,no major risk,Dried apricots with loratadine generally poses no significant problem when consumed in moderation.
azithromycin,spring rolls,safe,no major risk,Spring rolls with azithromycin generally poses no significant problem when consumed in moderation.
theophylline,jalebi,safe,no major risk,Jalebi with theophylline generally poses no significant problem when consumed in moderation.
valproate,quinoa,safe,no major risk,Quinoa with valproate generally poses no significant problem when consumed in moderation.
omeprazole,ice cream,safe,no major risk,Ice cream with omeprazole generally poses no significant problem when consumed in moderation.
metronidazole,grapes,safe,no major risk,Grapes with metronidazole generally poses no significant problem when consumed in moderation.
carbamazepine,rasam,safe,no major risk,Rasam with carbamazepine generally poses no significant problem when consumed in moderation.
levothyroxine,tofu,risky,reduced absorption,Tofu may reduce levothyroxine absorption; take on an empty stomach.
tetracycline,raisins,safe,no major risk,Raisins with tetracycline generally poses no significant problem when consumed in moderation.
ramipril,spinach,safe,no major risk,Spinach with ramipril generally poses no significant problem when consumed in moderation.
lisinopril,apple juice,safe,no major risk,Apple juice with lisinopril generally poses no significant problem when consumed in moderation.
isocarboxazid,fermented tofu,dangerous,hypertensive crisis,Tyramine in fermented tofu can cause severe hypertension with MAOIs like isocarboxazid.
rosuvastatin,barfi,safe,no major risk,Barfi with rosuvastatin generally poses no significant problem when consumed in moderation.
sitagliptin,fermented tofu,safe,no major risk,Fermented tofu with sitagliptin generally poses no significant problem when consumed in moderation.
lithium,tomato,safe,no major risk,Tomato with lithium generally poses no significant problem when consumed in moderation.
venlafaxine,carrot,safe,no major risk,Carrot with venlafaxine generally poses no significant problem when consumed in moderation.
lithium,papaya,safe,no major risk,Papaya with lithium generally poses no significant problem when consumed in moderation.
phenytoin,grapefruit juice,safe,no major risk,Grapefruit juice with phenytoin generally poses no significant problem when consumed in moderation.
tranylcypromine,mysore pak,safe,no major risk,Mysore pak with tranylcypromine generally poses no significant problem when consumed in moderation.
calcium supplements,apple juice,safe,no major risk,Apple juice with calcium supplements generally poses no significant problem when consumed in moderation.
bupropion,carrot,safe,no major risk,Carrot with bupropion generally poses no significant problem when consumed in moderation.
atorvastatin,chips,safe,no major risk,Chips with atorvastatin generally poses no significant problem when consumed in moderation.
cyclosporine,avocado,safe,no major risk,Avocado with cyclosporine generally poses no significant problem when consumed in moderation.
rivaroxaban,sauerkraut,safe,no major risk,Sauerkraut with rivaroxaban generally poses no significant problem when consumed in moderation.
pravastatin,maggi noodles,safe,no major risk,Maggi noodles with pravastatin generally poses no significant problem when consumed in moderation.
enoxaparin,mango,safe,no major risk,Mango with enoxaparin generally poses no significant problem when consumed in moderation.
cyclosporine,brown rice,safe,no major risk,Brown rice with cyclosporine generally poses no significant problem when consumed in moderation.
nitrofurantoin,kale,safe,no major risk,Kale with nitrofurantoin generally poses no significant problem when consumed in moderation.
isocarboxazid,idli,safe,no major risk,Idli with isocarboxazid generally poses no significant problem when consumed in moderation.
ciprofloxacin,pasta,safe,no major risk,Pasta with ciprofloxacin generally poses no significant problem when consumed in moderation.
glimepiride,raisins,safe,no major risk,Raisins with glimepiride generally poses no significant problem when consumed in moderation.
tacrolimus,edamame,safe,no major risk,Edamame with tacrolimus generally poses no significant problem when consumed in moderation.
digoxin,white rice,safe,no major risk,White rice with digoxin generally poses no significant problem when consumed in moderation.
rivaroxaban,chole,safe,no major risk,Chole with rivaroxaban generally poses no significant problem when consumed in moderation.
ketoconazole,quinoa,safe,no major risk,Quinoa with ketoconazole generally poses no significant problem when consumed in moderation.
tetracycline,black tea,safe,no major risk,Black tea with tetracycline generally poses no significant problem when consumed in moderation.
fenofibrate,beer,safe,no major risk,Beer with fenofibrate generally poses no significant problem when consumed in moderation.
clarithromycin,grapes,safe,no major risk,Grapes with clarithromycin generally poses no significant problem when consumed in moderation.
insulin,energy drink,safe,no major risk,Energy drink with insulin generally poses no significant problem when consumed in moderation.
phenelzine,aged cheese,dangerous,hypertensive crisis,Aged cheese contains tyramine; MAOIs can cause dangerous BP spikes.
rivaroxaban,licorice,safe,no major risk,Licorice with rivaroxaban generally poses no significant problem when consumed in moderation.
ranitidine,upma,safe,no major risk,Upma with ranitidine generally poses no significant problem when consumed in moderation.
omeprazole,barfi,safe,no major risk,Barfi with omeprazole generally poses no significant problem when consumed in moderation.
warfarin,paneer butter masala,safe,no major risk,Paneer butter masala with warfarin generally poses no significant problem when consumed in moderation.
lithium,amla,safe,no major risk,Amla with lithium generally poses no significant problem when consumed in moderation.
pravastatin,red wine,safe,no major risk,Red wine with pravastatin generally poses no significant problem when consumed in moderation.
metronidazole,butter chicken,safe,no major risk,Butter chicken with metronidazole generally poses no significant problem when consumed in moderation.
fexofenadine,beetroot,safe,no major risk,Beetroot with fexofenadine generally poses no significant problem when consumed in moderation.
clarithromycin,coffee,safe,no major risk,Coffee with clarithromycin generally poses no significant problem when consumed in moderation.
atenolol,turmeric latte,safe,no major risk,Turmeric latte with atenolol generally poses no significant problem when consumed in moderation.
lithium,curd rice,safe,no major risk,Curd rice with lithium generally poses no significant problem when consumed in moderation.
ketoconazole,beer,safe,no major risk,Beer with ketoconazole generally poses no significant problem when consumed in moderation.
diclofenac,aged cheese,safe,no major risk,Aged cheese with diclofenac generally poses no significant problem when consumed in moderation.
esomeprazole,fish curry,safe,no major risk,Fish curry with esomeprazole generally poses no significant problem when consumed in moderation.
venlafaxine,rasmalai,safe,no major risk,Rasmalai with venlafaxine generally poses no significant problem when consumed in moderation.
insulin,dal makhani,safe,no major risk,Dal makhani with insulin generally poses no significant problem when consumed in moderation.
lisinopril,carrot,safe,no major risk,Carrot with lisinopril generally poses no significant problem when consumed in moderation.
amitriptyline,avocado,safe,no major risk,Avocado with amitriptyline generally poses no significant problem when consumed in moderation.
pantoprazole,pomegranate juice,safe,no major risk,Pomegranate juice with pantoprazole generally poses no significant problem when consumed in moderation.
clopidogrel,yogurt,safe,no major risk,Yogurt with clopidogrel generally poses no significant problem when consumed in moderation.
lisinopril,khichdi,safe,no major risk,Khichdi with lisinopril generally poses no significant problem when consumed in moderation.
rosuvastatin,bread,safe,no major risk,Bread with rosuvastatin generally poses no significant problem when consumed in moderation.
valproate,alcohol,safe,no major risk,Alcohol with valproate generally poses no significant problem when consumed in moderation.
dabigatran,tonic water,safe,no major risk,Tonic water with dabigatran generally poses no significant problem when consumed in moderation.
phenytoin,multigrain roti,safe,no major risk,Multigrain roti with phenytoin generally poses no significant problem when consumed in moderation.
amitriptyline,chips,safe,no major risk,Chips with amitriptyline generally poses no significant problem when consumed in moderation.
losartan,mutton curry,safe,no major risk,Mutton curry with losartan generally poses no significant problem when consumed in moderation.
cyclosporine,french fries,safe,no major risk,French fries with cyclosporine generally poses no significant problem when consumed in moderation.
ramipril,ramen,safe,no major risk,Ramen with ramipril generally poses no significant problem when consumed in moderation.
losartan,mango,safe,no major risk,Mango with losartan generally poses no significant problem when consumed in moderation.
tranylcypromine,sweet potato,safe,no major risk,Sweet potato with tranylcypromine generally poses no significant problem when consumed in moderation.
esomeprazole,mutton curry,safe,no major risk,Mutton curry with esomeprazole generally poses no significant problem when consumed in moderation.
gliclazide,gulab jamun,safe,no major risk,Gulab jamun with gliclazide generally poses no significant problem when consumed in moderation.
theophylline,poha,safe,no major risk,Poha with theophylline generally poses no significant problem when consumed in moderation.
levetiracetam,dried apricots,safe,no major risk,Dried apricots with levetiracetam generally poses no significant problem when consumed in moderation.
glimepiride,leafy greens salad,safe,no major risk,Leafy greens salad with glimepiride generally poses no significant problem when consumed in moderation.
ketoconazole,st johns wort,safe,no major risk,St johns wort with ketoconazole generally poses no significant problem when consumed in moderation.
ranitidine,laddu,safe,no major risk,Laddu with ranitidine generally poses no significant problem when consumed in moderation.
levothyroxine,orange juice,safe,no major risk,Orange juice with levothyroxine generally poses no significant problem when consumed in moderation.
aspirin,mysore pak,safe,no major risk,Mysore pak with aspirin generally poses no significant problem when consumed in moderation.
dabigatran,beetroot,safe,no major risk,Beetroot with dabigatran generally poses no significant problem when consumed in moderation.
sertraline,mutton curry,safe,no major risk,Mutton curry with sertraline generally poses no significant problem when consumed in moderation.
warfarin,sauerkraut,safe,no major risk,Sauerkraut with warfarin generally poses no significant problem when consumed in moderation.
theophylline,rajma,safe,no major risk,Rajma with theophylline generally poses no significant problem when consumed in moderation.
ciprofloxacin,ice cream,risky,reduced absorption,Minerals in dairy can bind ciprofloxacin and reduce absorption; separate dosing.
gliclazide,spinach,safe,no major risk,Spinach with gliclazide generally poses no significant problem when consumed in moderation.
paracetamol,ghee,safe,no major risk,Ghee with paracetamol generally poses no significant problem when consumed in moderation.
ciprofloxacin,broccoli,safe,no major risk,Broccoli with ciprofloxacin generally poses no significant problem when consumed in moderation.
calcium supplements,poha,safe,no major risk,Poha with calcium supplements generally poses no significant problem when consumed in moderation.
loratadine,oats,safe,no major risk,Oats with loratadine generally poses no significant problem when consumed in moderation.
nitrofurantoin,st johns wort,safe,no major risk,St johns wort with nitrofurantoin generally poses no significant problem when consumed in moderation.
gliclazide,mutton curry,safe,no major risk,Mutton curry with gliclazide generally poses no significant problem when consumed in moderation.
theophylline,halwa,safe,no major risk,Halwa with theophylline generally poses no significant problem when consumed in moderation.
digoxin,alcohol,safe,no major risk,Alcohol with digoxin generally poses no significant problem when consumed in moderation.
ranitidine,barfi,safe,no major risk,Barfi with ranitidine generally poses no significant problem when consumed in moderation.
clarithromycin,red wine,safe,no major risk,Red wine with clarithromycin generally poses no significant problem when consumed in moderation.
phenytoin,tofu,safe,no major risk,Tofu with phenytoin generally poses no significant problem when consumed in moderation.
paracetamol,chole,safe,no major risk,Chole with paracetamol generally poses no significant problem when consumed in moderation.
apixaban,sambar,safe,no major risk,Sambar with apixaban generally poses no significant problem when consumed in moderation.
carbamazepine,paneer,safe,no major risk,Paneer with carbamazepine generally poses no significant problem when consumed in moderation.
ciprofloxacin,energy drink,safe,no major risk,Energy drink with ciprofloxacin generally poses no significant problem when consumed in moderation.
cetirizine,rasmalai,safe,no major risk,Rasmalai with cetirizine generally poses no significant problem when consumed in moderation.
fexofenadine,orange juice,risky,reduced effectiveness,Fruit juices can inhibit OATP transporters and reduce fexofenadine levels.
levetiracetam,mutton curry,safe,no major risk,Mutton curry with levetiracetam generally poses no significant problem when consumed in moderation.
metronidazole,yogurt,safe,no major risk,Yogurt with metronidazole generally poses no significant problem when consumed in moderation.
citalopram,energy drink,safe,no major risk,Energy drink with citalopram generally poses no significant problem when consumed in moderation.
atenolol,whole wheat roti,safe,no major risk,Whole wheat roti with atenolol generally poses no significant problem when consumed in moderation.
calcium supplements,mutton curry,safe,no major risk,Mutton curry with calcium supplements generally poses no significant problem when consumed in moderation.
glimepiride,sauerkraut,safe,no major risk,Sauerkraut with glimepiride generally poses no significant problem when consumed in moderation.
gliclazide,jalebi,safe,no major risk,Jalebi with gliclazide generally poses no significant problem when consumed in moderation.
fluoxetine,soy sauce,safe,no major risk,Soy sauce with fluoxetine generally poses no significant problem when consumed in moderation.
simvastatin,grapefruit juice,dangerous,increases side effects,Grapefruit inhibits CYP3A4 raising simvastatin levels and myopathy risk.
telmisartan,black tea,safe,no major risk,Black tea with telmisartan generally poses no significant problem when consumed in moderation.
doxycycline,buttermilk,risky,reduced absorption,Minerals in dairy can bind doxycycline and reduce absorption; separate dosing.
amoxicillin,grapefruit juice,safe,no major risk,Grapefruit juice with amoxicillin generally poses no significant problem when consumed in moderation.
loratadine,garlic,safe,no major risk,Garlic with loratadine generally poses no significant problem when consumed in moderation.
fexofenadine,cheese,safe,no major risk,Cheese with fexofenadine generally poses no significant problem when consumed in moderation.
rivaroxaban,spring rolls,safe,no major risk,Spring rolls with rivaroxaban generally poses no significant problem when consumed in moderation.
pantoprazole,mysore pak,safe,no major risk,Mysore pak with pantoprazole generally poses no significant problem when consumed in moderation.
ibuprofen,upma,safe,no major risk,Upma with ibuprofen generally poses no significant problem when consumed in moderation.
nitrofurantoin,ramen,safe,no major risk,Ramen with nitrofurantoin generally poses no significant problem when consumed in moderation.
fexofenadine,green tea,safe,no major risk,Green tea with fexofenadine generally poses no significant problem when consumed in moderation.
phenytoin,dosa,safe,no major risk,Dosa with phenytoin generally poses no significant problem when consumed in moderation.
digoxin,amla,safe,no major risk,Amla with digoxin generally poses no significant problem when consumed in moderation.
itraconazole,sambar,safe,no major risk,Sambar with itraconazole generally poses no significant problem when consumed in moderation.
clarithromycin,pomegranate juice,safe,no major risk,Pomegranate juice with clarithromycin generally poses no significant problem when consumed in moderation.
iron supplements,paneer butter masala,safe,no major risk,Paneer butter masala with iron supplements generally poses no significant problem when consumed in moderation.
phenelzine,kadhi,safe,no major risk,Kadhi with phenelzine generally poses no significant problem when consumed in moderation.
diphenhydramine,oats,safe,no major risk,Oats with diphenhydramine generally poses no significant problem when consumed in moderation.
itraconazole,rasgulla,safe,no major risk,Rasgulla with itraconazole generally poses no significant problem when consumed in moderation.
bupropion,soy sauce,safe,no major risk,Soy sauce with bupropion generally poses no significant problem when consumed in moderation.
aspirin,sauerkraut,safe,no major risk,Sauerkraut with aspirin generally poses no significant problem when consumed in moderation.
amoxicillin,spinach,safe,no major risk,Spinach with amoxicillin generally poses no significant problem when consumed in moderation.
metoprolol,rasmalai,safe,no major risk,Rasmalai with metoprolol generally poses no significant problem when consumed in moderation.
dabigatran,coconut water,safe,no major risk,Coconut water with dabigatran generally poses no significant problem when consumed in moderation.
fexofenadine,kale,safe,no major risk,Kale with fexofenadine generally poses no significant problem when consumed in moderation.
naproxen,red wine,risky,stomach irritation,Red wine with naproxen may increase gastric irritation or bleeding risk.
clopidogrel,rasam,safe,no major risk,Rasam with clopidogrel generally poses no significant problem when consumed in moderation.
loratadine,biryani,safe,no major risk,Biryani with loratadine generally poses no significant problem when consumed in moderation.
lisinopril,green tea,safe,no major risk,Green tea with lisinopril generally poses no significant problem when consumed in moderation.
dabigatran,edamame,safe,no major risk,Edamame with dabigatran generally poses no significant problem when consumed in moderation.
glimepiride,dates,safe,no major risk,Dates with glimepiride generally poses no significant problem when consumed in moderation.
azithromycin,paneer,safe,no major risk,Paneer with azithromycin generally poses no significant problem when consumed in moderation.
metformin,aged cheese,safe,no major risk,Aged cheese with metformin generally poses no significant problem when consumed in moderation.
phenelzine,pasta,safe,no major risk,Pasta with phenelzine generally poses no significant problem when consumed in moderation.
ketoconazole,mysore pak,safe,no major risk,Mysore pak with ketoconazole generally poses no significant problem when consumed in moderation.
magnesium supplements,milk,safe,no major risk,Milk with magnesium supplements generally poses no significant problem when consumed in moderation.
tacrolimus,st johns wort,safe,no major risk,St johns wort with tacrolimus generally poses no significant problem when consumed in moderation.
sitagliptin,idli,safe,no major risk,Idli with sitagliptin generally poses no significant problem when consumed in moderation.
digoxin,biryani,safe,no major risk,Biryani with digoxin generally poses no significant problem when consumed in moderation.
lithium,coconut water,risky,affects lithium levels,High electrolytes/fluids can alter lithium balance; monitor levels.
tetracycline,momos,safe,no major risk,Momos with tetracycline generally poses no significant problem when consumed in moderation.
diphenhydramine,grapefruit juice,safe,no major risk,Grapefruit juice with diphenhydramine generally poses no significant problem when consumed in moderation.
sertraline,pasta,safe,no major risk,Pasta with sertraline generally poses no significant problem when consumed in moderation.
paracetamol,pickles,safe,no major risk,Pickles with paracetamol generally poses no significant problem when consumed in moderation.
phenelzine,leafy greens salad,safe,no major risk,Leafy greens salad with phenelzine generally poses no significant problem when consumed in moderation.
rivaroxaban,ramen,safe,no major risk,Ramen with rivaroxaban generally poses no significant problem when consumed in moderation.
amoxicillin,kheer,safe,no major risk,Kheer with amoxicillin generally poses no significant problem when consumed in moderation.
magnesium supplements,chips,safe,no major risk,Chips with magnesium supplements generally poses no significant problem when consumed in moderation.
itraconazole,kadhi,safe,no major risk,Kadhi with itraconazole generally poses no significant problem when consumed in moderation.
fexofenadine,oats,safe,no major risk,Oats with fexofenadine generally poses no significant problem when consumed in moderation.
fluoxetine,mango,safe,no major risk,Mango with fluoxetine generally poses no significant problem when consumed in moderation.
azithromycin,tomato,safe,no major risk,Tomato with azithromycin generally poses no significant problem when consumed in moderation.
lithium,black tea,safe,no major risk,Black tea with lithium generally poses no significant problem when consumed in moderation.
theophylline,broccoli,safe,no major risk,Broccoli with theophylline generally poses no significant problem when consumed in moderation.
isocarboxazid,pakora,safe,no major risk,Pakora with isocarboxazid generally poses no significant problem when consumed in moderation.
metronidazole,gulab jamun,safe,no major risk,Gulab jamun with metronidazole generally poses no significant problem when consumed in moderation.
clarithromycin,potato,safe,no major risk,Potato with clarithromycin generally poses no significant problem when consumed in moderation.
pantoprazole,papaya,safe,no major risk,Papaya with pantoprazole generally poses no significant problem when consumed in moderation.
iron supplements,carrot,safe,no major risk,Carrot with iron supplements generally poses no significant problem when consumed in moderation.
heparin,cranberry,safe,no major risk,Cranberry with heparin generally poses no significant problem when consumed in moderation.
venlafaxine,ramen,safe,no major risk,Ramen with venlafaxine generally poses no significant problem when consumed in moderation.
fluconazole,rasmalai,safe,no major risk,Rasmalai with fluconazole generally poses no significant problem when consumed in moderation.
loratadine,grapes,safe,no major risk,Grapes with loratadine generally poses no significant problem when consumed in moderation.
esomeprazole,dal makhani,safe,no major risk,Dal makhani with esomeprazole generally poses no significant problem when consumed in moderation.
lithium,grapes,safe,no major risk,Grapes with lithium generally poses no significant problem when consumed in moderation.
diclofenac,papaya,safe,no major risk,Papaya with diclofenac generally poses no significant problem when consumed in moderation.
pravastatin,curd rice,safe,no major risk,Curd rice with pravastatin generally poses no significant problem when consumed in moderation.
itraconazole,halwa,safe,no major risk,Halwa with itraconazole generally poses no significant problem when consumed in moderation.
bupropion,curd rice,safe,no major risk,Curd rice with bupropion generally poses no significant problem when consumed in moderation.
aspirin,rasgulla,safe,no major risk,Rasgulla with aspirin generally poses no significant problem when consumed in moderation.
cetirizine,mango,safe,no major risk,Mango with cetirizine generally poses no significant problem when consumed in moderation.
insulin,sambar,safe,no major risk,Sambar with insulin generally poses no significant problem when consumed in moderation.
amitriptyline,kathi roll,safe,no major risk,Kathi roll with amitriptyline generally poses no significant problem when consumed in moderation.
ciprofloxacin,papaya,safe,no major risk,Papaya with ciprofloxacin generally poses no significant problem when consumed in moderation.
omeprazole,chips,safe,no major risk,Chips with omeprazole generally poses no significant problem when consumed in moderation.
diphenhydramine,sweet potato,safe,no major risk,Sweet potato with diphenhydramine generally poses no significant problem when consumed in moderation.
tetracycline,paneer butter masala,safe,no major risk,Paneer butter masala with tetracycline generally poses no significant problem when consumed in moderation.
paracetamol,tonic water,safe,no major risk,Tonic water with paracetamol generally poses no significant problem when consumed in moderation.
naproxen,raisins,safe,no major risk,Raisins with naproxen generally poses no significant problem when consumed in moderation.
phenelzine,beetroot,safe,no major risk,Beetroot with phenelzine generally poses no significant problem when consumed in moderation.
gliclazide,aged cheese,safe,no major risk,Aged cheese with gliclazide generally poses no significant problem when consumed in moderation.
rosuvastatin,white rice,safe,no major risk,White rice with rosuvastatin generally poses no significant problem when consumed in moderation.
fenofibrate,veg biryani,safe,no major risk,Veg biryani with fenofibrate generally poses no significant problem when consumed in moderation.
sertraline,tempeh,safe,no major risk,Tempeh with sertraline generally poses no significant problem when consumed in moderation.
sitagliptin,paratha,safe,no major risk,Paratha with sitagliptin generally poses no significant problem when consumed in moderation.
glimepiride,pomegranate juice,safe,no major risk,Pomegranate juice with glimepiride generally poses no significant problem when consumed in moderation.
amoxicillin,chips,safe,no major risk,Chips with amoxicillin generally poses no significant problem when consumed in moderation.
ranitidine,tomato,safe,no major risk,Tomato with ranitidine generally poses no significant problem when consumed in moderation.
apixaban,sauerkraut,safe,no major risk,Sauerkraut with apixaban generally poses no significant problem when consumed in moderation.
rosuvastatin,energy drink,safe,no major risk,Energy drink with rosuvastatin generally poses no significant problem when consumed in moderation.
itraconazole,paneer,safe,no major risk,Paneer with itraconazole generally poses no significant problem when consumed in moderation.
warfarin,brown rice,safe,no major risk,Brown rice with warfarin generally poses no significant problem when consumed in moderation.
amoxicillin,brown rice,safe,no major risk,Brown rice with amoxicillin generally poses no significant problem when consumed in moderation.
sitagliptin,poha,safe,no major risk,Poha with sitagliptin generally poses no significant problem when consumed in moderation.
lisinopril,french fries,safe,no major risk,French fries with lisinopril generally poses no significant problem when consumed in moderation.
lisinopril,coffee,safe,no major risk,Coffee with lisinopril generally poses no significant problem when consumed in moderation.
tetracycline,pasta,safe,no major risk,Pasta with tetracycline generally poses no significant problem when consumed in moderation.
losartan,aged cheese,safe,no major risk,Aged cheese with losartan generally poses no significant problem when consumed in moderation.
theophylline,sev,safe,no major risk,Sev with theophylline generally poses no significant problem when consumed in moderation.
ciprofloxacin,paneer,risky,reduced absorption,Minerals in dairy can bind ciprofloxacin and reduce absorption; separate dosing.
venlafaxine,pakora,safe,no major risk,Pakora with venlafaxine generally poses no significant problem when consumed in moderation.
calcium supplements,ramen,safe,no major risk,Ramen with calcium supplements generally poses no significant problem when consumed in moderation.
amitriptyline,ice cream,safe,no major risk,Ice cream with amitriptyline generally poses no significant problem when consumed in moderation.
rosuvastatin,quinoa,safe,no major risk,Quinoa with rosuvastatin generally poses no significant problem when consumed in moderation.
lisinopril,tonic water,safe,no major risk,Tonic water with lisinopril generally poses no significant problem when consumed in moderation.
omeprazole,jalebi,safe,no major risk,Jalebi with omeprazole generally poses no significant problem when consumed in moderation.
fluoxetine,coconut water,safe,no major risk,Coconut water with fluoxetine generally poses no significant problem when consumed in moderation.
citalopram,pickles,safe,no major risk,Pickles with citalopram generally poses no significant problem when consumed in moderation.
amlodipine,beetroot,safe,no major risk,Beetroot with amlodipine generally poses no significant problem when consumed in moderation.
clopidogrel,grapefruit juice,risky,reduces effectiveness,Grapefruit may inhibit CYP2C19 and reduce clopidogrel activation.
clopidogrel,fermented tofu,safe,no major risk,Fermented tofu with clopidogrel generally poses no significant problem when consumed in moderation.
rosuvastatin,kadhi,safe,no major risk,Kadhi with rosuvastatin generally poses no significant problem when consumed in moderation.
lisinopril,avocado,risky,raises potassium,Avocado is high in potassium; ACE inhibitors may increase hyperkalemia risk.
ciprofloxacin,paneer butter masala,safe,no major risk,Paneer butter masala with ciprofloxacin generally poses no significant problem when consumed in moderation.
amoxicillin,pulao,safe,no major risk,Pulao with amoxicillin generally poses no significant problem when consumed in moderation.
tacrolimus,ghee,safe,no major risk,Ghee with tacrolimus generally poses no significant problem when consumed in moderation.
clarithromycin,barfi,safe,no major risk,Barfi with clarithromycin generally poses no significant problem when consumed in moderation.
pantoprazole,apple juice,safe,no major risk,Apple juice with pantoprazole generally poses no significant problem when consumed in moderation.
warfarin,kachori,safe,no major risk,Kachori with warfarin generally poses no significant problem when consumed in moderation.
aspirin,biryani,safe,no major risk,Biryani with aspirin generally poses no significant problem when consumed in moderation.
theophylline,beer,safe,no major risk,Beer with theophylline generally poses no significant problem when consumed in moderation.
loratadine,rasgulla,safe,no major risk,Rasgulla with loratadine generally poses no significant problem when consumed in moderation.
rosuvastatin,spring rolls,safe,no major risk,Spring rolls with rosuvastatin generally poses no significant problem when consumed in moderation.
iron supplements,edamame,safe,no major risk,Edamame with iron supplements generally poses no significant problem when consumed in moderation.
dabigatran,veg biryani,safe,no major risk,Veg biryani with dabigatran generally poses no significant problem when consumed in moderation.
digoxin,licorice,dangerous,arrhythmia risk,Licorice can lower potassium and increase digoxin toxicity risk.
amitriptyline,oats,safe,no major risk,Oats with amitriptyline generally poses no significant problem when consumed in moderation.
amoxicillin,raisins,safe,no major risk,Raisins with amoxicillin generally poses no significant problem when consumed in moderation.
phenytoin,ghee,safe,no major risk,Ghee with phenytoin generally poses no significant problem when consumed in moderation.
calcium supplements,white rice,safe,no major risk,White rice with calcium supplements generally poses no significant problem when consumed in moderation.
ibuprofen,banana,safe,no major risk,Banana with ibuprofen generally poses no significant problem when consumed in moderation.
clarithromycin,brown rice,safe,no major risk,Brown rice with clarithromycin generally poses no significant problem when consumed in moderation.
azithromycin,jalebi,safe,no major risk,Jalebi with azithromycin generally poses no significant problem when consumed in moderation.
esomeprazole,spinach soup,safe,no major risk,Spinach soup with esomeprazole generally poses no significant problem when consumed in moderation.
sitagliptin,cheese,safe,no major risk,Cheese with sitagliptin generally poses no significant problem when consumed in moderation.
insulin,kathi roll,safe,no major risk,Kathi roll with insulin generally poses no significant problem when consumed in moderation.
levothyroxine,tempeh,risky,reduced absorption,Tempeh may reduce levothyroxine absorption; take on an empty stomach.
fluoxetine,black tea,safe,no major risk,Black tea with fluoxetine generally poses no significant problem when consumed in moderation.
atenolol,palak paneer,safe,no major risk,Palak paneer with atenolol generally poses no significant problem when consumed in moderation.
cetirizine,sambar,safe,no major risk,Sambar with cetirizine generally poses no significant problem when consumed in moderation.
rosuvastatin,dosa,safe,no major risk,Dosa with rosuvastatin generally poses no significant problem when consumed in moderation.
carbamazepine,cheese,safe,no major risk,Cheese with carbamazepine generally poses no significant problem when consumed in moderation.
metronidazole,ice cream,safe,no major risk,Ice cream with metronidazole generally poses no significant problem when consumed in moderation.
ramipril,pasta,safe,no major risk,Pasta with ramipril generally poses no significant problem when consumed in moderation.
rivaroxaban,leafy greens salad,safe,no major risk,Leafy greens salad with rivaroxaban generally poses no significant problem when consumed in moderation.
rivaroxaban,poha,safe,no major risk,Poha with rivaroxaban generally poses no significant problem when consumed in moderation.
fluoxetine,green tea,safe,no major risk,Green tea with fluoxetine generally poses no significant problem when consumed in moderation.
isocarboxazid,kheer,safe,no major risk,Kheer with isocarboxazid generally poses no significant problem when consumed in moderation.
bupropion,garlic,safe,no major risk,Garlic with bupropion generally poses no significant problem when consumed in moderation.
diclofenac,dal makhani,safe,no major risk,Dal makhani with diclofenac generally poses no significant problem when consumed in moderation.
cyclosporine,pulao,safe,no major risk,Pulao with cyclosporine generally poses no significant problem when consumed in moderation.
ciprofloxacin,butter chicken,safe,no major risk,Butter chicken with ciprofloxacin generally poses no significant problem when consumed in moderation.
clopidogrel,tempeh,safe,no major risk,Tempeh with clopidogrel generally poses no significant problem when consumed in moderation.
warfarin,turmeric latte,safe,no major risk,Turmeric latte with warfarin generally poses no significant problem when consumed in moderation.
fenofibrate,cheese,safe,no major risk,Cheese with fenofibrate generally poses no significant problem when consumed in moderation.
valproate,whole wheat roti,safe,no major risk,Whole wheat roti with valproate generally poses no significant problem when consumed in moderation.
levetiracetam,ghee,safe,no major risk,Ghee with levetiracetam generally poses no significant problem when consumed in moderation.
metformin,halwa,risky,raises blood sugar,High-sugar foods like halwa can worsen glucose control while on metformin.
fluoxetine,curd rice,safe,no major risk,Curd rice with fluoxetine generally poses no significant problem when consumed in moderation.
tranylcypromine,coconut water,safe,no major risk,Coconut water with tranylcypromine generally poses no significant problem when consumed in moderation.
sitagliptin,leafy greens salad,safe,no major risk,Leafy greens salad with sitagliptin generally poses no significant problem when consumed in moderation.
calcium supplements,brown rice,safe,no major risk,Brown rice with calcium supplements generally poses no significant problem when consumed in moderation.
rosuvastatin,fermented tofu,safe,no major risk,Fermented tofu with rosuvastatin generally poses no significant problem when consumed in moderation.
cyclosporine,pasta,safe,no major risk,Pasta with cyclosporine generally poses no significant problem when consumed in moderation.
